Key,Comment,Japanese,English,Traditional Chinese,Simplified Chinese,Japanese_Steam,Traditional Chinese_Steam,Simplified Chinese_Steam,English_Steam,Korean_Steam
,,,,,,,,,,
Akiho Fallen Scene 2,,闇堕ちシーン２,闇堕ちシーン２,闇堕ちシーン２,暗堕ちシーン２,闇堕ちシーン２,闇堕ちシーン２,暗堕ちシーン２,,타락화 이벤트 2
,2ｰ1,,,,,,,,,
Akiho.Fallen2-1,,明穂に対する改造調教が始まってから3日ほど。研究室にはぴちゃぴちゃという水音と少女の嬌声が響き渡る,It has been about three days since the remodeling and training of Akiho began. The laboratory is filled with the sound of water and the girl's charming voice.,從對明穗進行改造調教開始已經過了大約3天。在研究室裡，傳來了水滴滴答的聲音和少女嬌喘的聲音。,从对明穗进行改造调教开始已经过了大约3天。在研究室里，传来了水滴滴答的声音和少女娇喘的声音。,明穂に対する改造調教が始まってから3日ほど。研究室にはぴちゃぴちゃという水音と少女の嬌声が響き渡る,從對明穗進行改造、調教開始，已經過了大約三天。研究室裡迴盪著水滴滴答聲，夾雜著少女的嬌喘。,从对明穗进行改造、调教开始，已经过了大约三天。研究室里回荡着水滴滴答声，夹杂着少女的娇喘。,About three days had passed since Akiho's modification training began. Wet splashing sounds and the girl's sweet cries echoed throughout the laboratory.,아키호에 대한 개조 조교가 시작된 지 3일 정도. 연구실에는 피챳피챳 하는 물소리와 소녀의 교성이 울려 퍼진다
,,,,,,,,,,
Akiho.Fallen2-2,明穂,「ひうっ♥、んあっ♥、やめ…てぇっ♥、お゛おっ♥、おっ♥、とまらなっ♥、いいっ♥」,「」,「嗯噫♥、啊♥、停…啊♥、喔喔♥、喔♥、停不下來♥、好棒♥」,「嗯噫♥、啊♥、停…啊♥、喔喔♥、喔♥、停不下来♥、好棒♥」,「ひうっ♥、んあっ♥、やめ…てぇっ♥、お゛おっ♥、おっ♥、とまらなっ♥、いいっ♥」,「嗯噫♥、啊啊♥、停…啊啊♥、喔喔♥、喔♥、停不下來♥、好舒服♥」,「嗯噫♥、啊啊♥、停…啊啊♥、喔喔♥、喔♥、停不下来♥、好舒服♥」,"""Huuuuu♥ Nnah♥ Sto...p♥ Ohhh♥ Oh♥ It won't stop♥ So good♥""","「히웃♥, 응앗♥, 그만…해엣♥, 오옷♥, 오옷♥, 멈추지 않아♥, 좋아앗♥」"
,,,,,,,,,,
Akiho.Fallen2-3,,ビュ――――ッ！♥、ビュ――――――ッ！♥、ビュクッ♥、ビュルルッ！♥,"Bu ――――ッ! ♥, bu――――――ッ! ♥, bukk ♥, bukk ♥, bukk ♥, bukk ♥, bukk ♥, bukk ♥! ♥, ♥, ♥, ♥, ♥, ♥, ♥, ♥!",噗――――！♥、噗――――――！♥、噗咕♥、噗嚕嚕！♥,噗――――！♥、噗――――――！♥、噗咕♥、噗噜噜！♥,ビュ――――ッ！♥、ビュ――――――ッ！♥、ビュクッ♥、ビュルルッ！♥,噗――――！♥噗――――――！♥噗咕♥、噗嚕嚕！♥,噗――――！ ♥噗――――――！ ♥噗咕♥、噗噜噜！ ♥,Spuuuurt!♥ Spuuuuuurt!♥ Splurt♥ Spurrrrt!♥,"쀼우우우웃!♥, 쀼우우우우우우웃!♥, 쀼읏♥, 쀼르르릇!♥"
,,,,,,,,,,
Akiho.Fallen2-4,明穂,「んぁあああっ♥♥、んんっ♥、やあっ♥♥、おっぱい♥、やめ、てぇっ♥」,"「Ohhhh, ohhhh, ohhhh, ohhhh, ohhhh, ohhhh, ohhhh, ohhhh, ohhhh, ohhhh, ohhhh, ohhhh, ohhhh, ohhhh, ohhhh, ohhhh, ohhhh, ohhhh.」",「嗯啊啊啊♥♥、嗯♥、呀♥♥、胸部♥、停、喔♥」,「嗯啊啊啊♥♥、嗯♥、呀♥♥、胸部♥、停、喔♥」,「んぁあああっ♥♥、んんっ♥、やあっ♥♥、おっぱい♥、やめ、てぇっ♥」,「嗯啊啊啊♥♥、嗯♥、呀啊♥♥、胸部♥、停…喔♥」,「嗯啊啊啊♥♥、嗯♥、呀啊♥♥、胸部♥、停…喔♥」,"""Nnaaaahhh♥♥ Nnh♥ Nooo♥♥ My boobs♥ Stop... it♥""","「응아아아앗♥♥, 응응읏♥, 야앗♥♥, 가슴♥, 그만, 해앳♥」"
,,,,,,,,,,
Akiho.Fallen2-5,,ぴゅるっ♥、ぴゅるる♥、ぷしゅっ♥,"Pyuurr♥, pyuurr♥, pyuurr♥, pyuurr♥.",噗嚕♥、噗嚕嚕♥、噗噓♥,噗噜♥、噗噜噜♥、噗嘘♥,ぴゅるっ♥、ぴゅるる♥、ぷしゅっ♥,噗嚕♥、噗嚕嚕♥、噗噓♥,噗噜♥、噗噜噜♥、噗嘘♥,Squirt♥ Squirrrt♥ Gush♥,"퓨릇♥, 퓨르르♥, 푸슛♥"
,,,,,,,,,,
Akiho.Fallen2-6,戦闘員,「やっと母乳が出なくなってきたか…今日の明穂ちゃんのおっぱい改造はこんなもんだな」,"「Finally, my mother's milk has stopped flowing... so that's how Akiho's boob modification is going to be today.」",「終於母乳不再流出了嗎…今天對明穗的胸部改造就到這了吧」,「终于母乳不再流出了吗…今天对明穗的胸部改造就到这了吧」,「やっと母乳が出なくなってきたか…今日の明穂ちゃんのおっぱい改造はこんなもんだな」,「終於不再出母乳了嗎……今天對明穗醬的胸部改造就先到這裡吧。」,「终于不再出母乳了吗……今天对明穗酱的胸部改造就先到这里吧。」,"""Finally running out of milk, huh... That's enough of Akiho's breast modification for today.""",「겨우 모유가 나오지 않게 되었나… 오늘의 아키호쨩의 가슴 개조는 이 정도인가」
,,,,,,,,,,
Akiho.Fallen2-7,明穂,「はあっ♥、はあっ♥、やっと…終わった…？」,"「Ahh ♥, ah ♥, finally... done...?」",「呼♥、呼♥、終於…結束了…？」,「呼♥、呼♥、终于…结束了…？」,「はあっ♥、はあっ♥、やっと…終わった…？」,「哈啊♥、哈啊♥，終於……結束了嗎……？」,「哈啊♥、哈啊♥，终于……结束了吗……？」,"""Haah♥ Haah♥ Is it... finally over...?""","「하앗♥, 하앗♥, 겨우… 끝났…어?」"
,2ｰ3,,,,,,,,,
Akiho.Fallen2-8,戦戦闘員,「ああ、じゃあまた改造始めるからな。頑張れよ？」,"「'Yeah, well, I'll start modding again. Good luck?」",「啊，那我就再開始進行改造了。加油哦？」,「啊，那我就再开始进行改造了。加油哦？」,「ああ、じゃあまた改造始めるからな。頑張れよ？」,「啊，那我就再開始進行改造囉。加油喔？」,「啊，那我就再开始进行改造啰。加油喔？」,"""Yeah, but we'll start the modifications again soon. Do your best, yeah?""","「아아, 그럼 또 개조 시작할 테니. 힘내라고?」"
,,,,,,,,,,
Akiho.Fallen2-9,明明穂,「ひぁっ♥、むぐっ♥、もう、やらぁ♥♥」,"「Oh, my God, oh, my God, oh, my God, oh, my God, oh, my God.」",「呀♥、咕♥、已經、做啦♥♥」,「呀♥、咕♥、已经、做啦♥♥」,「ひぁっ♥、むぐっ♥、もう、やらぁ♥♥」,「呀啊♥、嗯咕♥，住手♥♥」,「呀啊♥、嗯咕♥，住手♥♥」,"""ah♥ Mmgh♥ No more♥♥""","「히얏♥, 으읍♥, 이젠, 싫엇♥♥」"
,,,,,,,,,,
Akiho.Fallen2-10,,～翌日～,~ Next day,～隔日～,～隔日～,～翌日～,～隔日～,～隔日～,The next day,～다음날～
,2ｰ2,,,,,,,,,
Akiho.Fallen2-11,戦闘員,「おはよう明穂ちゃん、様子を見に来てやったぞ？」,"「Good morning Ako, I came to check on you, okay?」",「早安，明穗，我來看看你了嗎？」,「早安，明穗，我来看看你了吗？」,「おはよう明穂ちゃん、様子を見に来てやったぞ？」,「早安，明穗醬，我來看妳的狀況囉？」,「早安，明穗酱，我来看妳的状况啰？」,"""Good morning, Akiho. I came to check on you.""","「안녕 아키호쨩, 상태 보러 와줬어?」"
,,,,,,,,,,
Akiho.Fallen2-12,明穂,「…っ、はぁ♥、はぁ♥♥、むぐっ♥、もうこんな時間…、またおっぱい揉むの…？」,「I'm going to rub your tits again...?」,「…、呀♥、呀♥♥、咕♥、已經這個時間了…、又要摸胸部了…？」,「…、呀♥、呀♥♥、咕♥、已经这个时间了…、又要摸胸部了…？」,「…っ、はぁ♥、はぁ♥♥、むぐっ♥、もうこんな時間…、またおっぱい揉むの…？」,「……哈啊♥、哈啊♥♥、嗯咕♥，已經這個時間了……又要來揉胸部了嗎……？」,「……哈啊♥、哈啊♥♥、嗯咕♥，已经这个时间了……又要来揉胸部了吗……？」,"""...Haah♥ Haah♥♥ Mmgh♥ Is it time already... Are you going to squeeze my boobs again...?""","「…윽, 하아♥, 하아♥♥, 으읍♥, 벌써 이런 시간… 또 가슴 주무를 거야…?」"
,,,,,,,,,,
Akiho.Fallen2-13,戦闘員,「残念だったな、今日は乳搾りは無しだ。そのままの経過観察が見たいらしいんでな」,"「He said, ""Too bad, no milking for you today. They want to see how things are progressing.」",「可惜了，今天沒有擠奶的機會。看來是想繼續觀察現況。」,「可惜了，今天没有挤奶的机会。看来是想继续观察现况。」,「残念だったな、今日は乳搾りは無しだ。そのままの経過観察が見たいらしいんでな」,「真可惜啊，今天不擠奶喔。上頭好像想看看妳這樣放著的狀況會怎樣。」,「真可惜啊，今天不挤奶喔。上头好像想看看妳这样放着的状况会怎样。」,"""Unfortunately, no milking today. They want to observe your condition as is.""","「유감이었네, 오늘은 착유는 없어. 그대로의 경과 관찰을 보고 싶다니까」"
,,,,,,,,,,
Akiho.Fallen2-14,明穂,「……そう…。良かった…」,「...... so.... Good...」,「……是的…。太好了…」,「……是的…。太好了…」,「……そう…。良かった…」,「……是嗎……那太好了……」,「……是吗……那太好了……」,"""...I see... Thank goodness...""",「……그래…. 다행이다…」
,,,,,,,,,,
Akiho.Fallen2-15,,(っ、でも、毎日絞られてた分のおっぱいが残ってて…逆に変な感じ),(But I still have boobs left over from being squeezed every day... it's kind of weird...),(可是，每天都被擠奶，胸部還殘留著…反而感覺有點奇怪),(可是，每天都被挤奶，胸部还残留著…反而感觉有点奇怪),(っ、でも、毎日絞られてた分のおっぱいが残ってて…逆に変な感じ),（但、但是，因為每天都被擠奶，胸口還殘留著漲漲的感覺……反而有點怪怪的。）,（但、但是，因为每天都被挤奶，胸口还残留着涨涨的感觉……反而有点怪怪的。）,(But the milk that was squeezed out daily is still building up... it feels weird.),"(윽, 하지만, 매일 짜내던 분량의 젖이 남아 있어서… 오히려 이상한 느낌)"
,,,,,,,,,,
Akiho.Fallen2-16,,(自分で搾ろうにも腕は拘束されてるしっ♥！、ああもうっ♥),"(I'd squeeze it myself, but my arms are restrained! Oh, God!)",(就算想自己擠也被綁住手臂了♥！啊啊真是的♥),(就算想自己挤也被绑住手臂了♥！啊啊真是的♥),(自分で搾ろうにも腕は拘束されてるしっ♥！、ああもうっ♥),（就算想自己擠也不行，手臂被綁住了♥！啊啊真是的♥）,（就算想自己挤也不行，手臂被绑住了♥！啊啊真是的♥）,"(I can't squeeze it out myself with my arms restrained♥ Ahh, damn it♥)","(스스로 짜려 해도 팔은 구속되어 있고!, 아아 정말♥)"
,,,,,,,,,,
Akiho.Fallen2-17,,～3日後～,~3 days later,～3日後～,～3日后～,～3日後～,～3天後～,～3天后～,Three days later...,～3일 후～
,2－4,,,,,,,,,
Akiho.Fallen2-18,明穂,「ふーっ…♥、ふーっ…♥、むぐっ♥、かぽっ♥、」,"「Hoo...♥, hoo...♥, mugg...♥, kapo...」",「呼…♥、呼…♥、噗♥、咔嚓♥、」,「呼…♥、呼…♥、噗♥、咔嚓♥、」,「ふーっ…♥、ふーっ…♥、むぐっ♥、かぽっ♥、」,「呼…♥、呼…♥、嗯咕♥、嗯咕♥」,「呼…♥、呼…♥、嗯咕♥、嗯咕♥」,"""Hooo...♥ Hooo...♥ Mmgh♥ Guh♥""","「후-읏…♥, 후-읏…♥, 으읍♥, 카폿♥,」"
,,,,,,,,,,
Akiho.Fallen2-19,戦闘員,「おはよう明穂ちゃん！」,"「Good morning, Akiho-chan!」",「早安，明穗！」,「早安，明穗！」,「おはよう明穂ちゃん！」,「早安，明穗醬！」,「早安，明穗酱！」,"""Good morning, Akiho!""",「안녕 아키호쨩!」
,,,,,,,,,,
Akiho.Fallen2-20,明穂,「はあっ♥、はあっ♥、今日はっ♥♥、おっぱい搾ってくれるんですか？！」,"「'Haaah ♥, haaah ♥, today haaah ♥, are you going to squeeze my tits?」",「呼♥、呼♥、今天♥♥，要擠奶嗎？！」,「呼♥、呼♥、今天♥♥，要挤奶吗？！」,「はあっ♥、はあっ♥、今日はっ♥♥、おっぱい搾ってくれるんですか？！」,「哈啊♥、哈啊♥、今天♥♥…會幫我擠奶嗎？！」,「哈啊♥、哈啊♥、今天♥♥…会帮我挤奶吗？！」,"""Haah♥ Haah♥ Today♥♥ Are you going to milk my breasts?!""","「하앗♥, 하앗♥, 오늘은♥♥, 가슴 짜주실 건가요?!」"
,,,,,,,,,,
Akiho.Fallen2-21,戦闘員,「あー？、そんなに搾って欲しいのか？」,「Oh? You want me to squeeze you that hard?」,「啊？你這麼想要擠嗎？」,「啊？你这么想要挤吗？」,「あー？、そんなに搾って欲しいのか？」,「哦？妳這麼想被擠奶嗎？」,「哦？妳这么想被挤奶吗？」,"""Huh? You want to be milked that badly?""","「아-?, 그렇게 짜줬으면 좋겠어?」"
,,,,,,,,,,
Akiho.Fallen2-22,明穂,「……っ♥、おっぱいにっ♥、母乳がたまってっ♥♥、くるしいのっ♥！早く絞ってっ♥♥」,"「......, my breast is filled with mother's milk and it's making me sick! Squeeze me quick!」",「……♥、胸部♥、母乳積聚♥♥、好痛苦♥！快點擠出來♥♥」,「……♥、胸部♥、母乳积聚♥♥、好痛苦♥！快点挤出来♥♥」,「……っ♥、おっぱいにっ♥、母乳がたまってっ♥♥、くるしいのっ♥！早く絞ってっ♥♥」,「……嗚♥，胸部裡♥，積滿了母乳♥♥，好難受♥！快點幫我擠出來♥♥！」,「……呜♥，胸部里♥，积满了母乳♥♥，好难受♥！快点帮我挤出来♥♥！」,"""...♥ My breasts♥ are full of milk♥♥ It hurts♥ Please milk me quickly♥♥""","「……윽♥, 가슴에♥, 모유가 쌓여서♥♥, 괴로운걸♥! 빨리 짜줘♥♥」"
,,,,,,,,,,
Akiho.Fallen2-23,戦闘員,「……何か誤解してねえか？今の明穂ちゃんはあくまで捕虜で合って俺達の敵なんだよ。なんで俺達がお前の言う事聞かなきゃいけねえんだ？」,"「......, you misunderstood something. Now Akiho-chan is a prisoner of war and an enemy of ours. Why should we listen to you?」",「……有沒有誤會？現在的明穗只是俘虜，她是我們的敵人。為什麼要聽你的話？」,「……有没有误会？现在的明穗只是俘虏，她是我们的敌人。为什么要听你的话？」,「……何か誤解してねえか？今の明穂ちゃんはあくまで捕虜で合って俺達の敵なんだよ。なんで俺達がお前の言う事聞かなきゃいけねえんだ？」,「……妳是不是誤會什麼了？現在的明穗醬只是個俘虜，是我們的敵人。為什麼我們要聽妳的話？」,「……妳是不是误会什么了？现在的明穗酱只是个俘虏，是我们的敌人。为什么我们要听妳的话？」,"""...I think you're confused about something. You're our prisoner, Akiho. Our enemy. Why should we have to listen to what you want?""",「……뭔가 오해하고 있는 거 아냐? 지금 아키호쨩은 어디까지나 포로이고 우리들의 적이야. 왜 우리가 네 말을 들어야 하는 거지?」
,,,,,,,,,,
Akiho.Fallen2-24,戦闘員,「じゃあまたな。今度会うときはしばらく後だな」,"「I'll see you later. Next time I see you, it'll be a while.」",「那再見。下次見面應該是一段時間後了吧。」,「那再见。下次见面应该是一段时间后了吧。」,「じゃあまたな。今度会うときはしばらく後だな」,「那就下次見吧。下回見面，大概會是很久之後了。」,「那就下次见吧。下回见面，大概会是很久之后了。」,"""See you later. It'll be a while before we meet again.""",「그럼 또 보자. 다음에 만날 때는 한참 뒤겠네」
,,,,,,,,,,
Akiho.Fallen2-25,明穂,「そんなぁっ♥、まって♥、ちょっとでいいからっ♥、ミルク出させてっ♥！」,"「Oh, no, wait, just a little bit, let me milk you!」",「這樣啊♥，等等♥，就一點點♥，讓我擠奶♥！」,「这样啊♥，等等♥，就一点点♥，让我挤奶♥！」,「そんなぁっ♥、まって♥、ちょっとでいいからっ♥、ミルク出させてっ♥！」,「怎麼會♥，等等♥，就算只有一點點也好♥，讓我把奶水排出來♥！」,「怎么会♥，等等♥，就算只有一点点也好♥，让我把奶水排出来♥！」,"""No way♥ Wait♥ Just a little bit♥ Please milk me♥""","「그런앗♥, 기다려♥, 조금만이라도 좋으니까♥, 밀크 나오게 해줘♥!」"
,,,,,,,,,,
Akiho.Fallen2-26,,(無理無理っ！もう我慢できないっ♥♥、行かないでっ！おっぱい重いっ！),(It's impossible! I can't take it anymore! My tits are too heavy!),(不行不行！我已經無法忍受了♥♥，不要走！胸部好重啊！),(不行不行！我已经无法忍受了♥♥，不要走！胸部好重啊！),(無理無理っ！もう我慢できないっ♥♥、行かないでっ！おっぱい重いっ！),（不行不行！我真的忍受不住了♥♥，不要走！我的胸部好重好難受！）,（不行不行！我真的忍受不住了♥♥，不要走！我的胸部好重好难受！）,"(No, no! I can't take it anymore♥♥ Don't go! My breasts are so heavy!)","(무리무리! 이제 참을 수 없어♥♥, 가지 마! 가슴 무거워!)"
,,,,,,,,,,
Akiho.Fallen2-27,,～更に3日後～,~And after 3 more days,～再過3天～,～再过3天～,～更に3日後～,～又過了3天～,～又过了3天～,Three more days later...,～다시 3일 후～
,2－4,,,,,,,,,
Akiho.Fallen2-28,明穂,「……コヒュー。……コヒュー。……」,「...... cohue. ...... cohue. .......」,「……咳嗽。……咳嗽。……」,「……咳嗽。……咳嗽。……」,「……コヒュー。……コヒュー。……」,「……科呼。……科呼。……」,「……科呼。……科呼。……」,"""...Hahh... Hahh...""",「……코휴-.……코휴-.……」
,,,,,,,,,,
Akiho.Fallen2-29,,明穂は機械につながれたまま乳房の改造を一人で受け続けていた,Akiho continued to undergo breast modification alone while hooked up to a machine.,明穗一個人被困在機器中，持續接受乳房改造。,明穗一个人被困在机器中，持续接受乳房改造。,明穂は機械につながれたまま乳房の改造を一人で受け続けていた,明穗獨自一人被連接在機械上，持續接受胸部的改造。,明穗独自一人被连接在机械上，持续接受胸部的改造。,Akiho continued receiving breast modifications alone while connected to the machine.,아키호는 기계에 연결된 채 유방 개조를 혼자 계속 받고 있었다
,,,,,,,,,,
Akiho.Fallen2-30,戦闘員,「おー久しぶりだな明穂ちゃん。元気だったか？」,"「Oh long time no see, Akiho-chan. How have you been?」",「哦，好久不見了啊，明穗。你還好嗎？」,「哦，好久不见了啊，明穗。你还好吗？」,「おー久しぶりだな明穂ちゃん。元気だったか？」,「唷，好久不見了明穗醬。過得還好嗎？」,「唷，好久不见了明穗酱。过得还好吗？」,"""Long time no see, Akiho. How have you been?""",「오- 오랜만이네 아키호쨩. 잘 지냈어?」
,,,,,,,,,,
Akiho.Fallen2-31,明穂,「……？……ゴポッ……？………！？戦闘員のっ？」,"「I'm not sure what you mean when you say ""......? ...... goposh ......? .........! Combatant's?」",「……？……咕嚕……？……！？戰鬥員嗎？」,「……？……咕噜……？……！？战斗员吗？」,「……？……ゴポッ……？………！？戦闘員のっ？」,「……？……咕噗……？………！？戰鬥員？」,「……？……咕噗……？………！？战斗员？」,"""...? ...Guh...? ...?! Is that a soldier?""",「……?……고폿……?………!? 전투원의?」
,2－5,,,,,,,,,
Akiho.Fallen2-32,明穂,「……お゛っ、おっぱいっ、早くっ、絞って、くらさいっ♥、もう限界っ♥、なんでもするからぁ♥！」,"「...... Oh, boobies, squeeze me, squeeze me, squeeze me, squeeze me, squeeze me, squeeze me, squeeze me, squeeze me, squeeze me, squeeze me, squeeze me, squeeze me, squeeze me, squeeze me, squeeze me, squeeze me, squeeze me, squeeze me, squeeze me, squeeze me, squeeze me, squeeze me!」",「……哦、胸部、快點、擠壓、拜託了♥，已經極限了♥，我什麼都願意做的♥！」,「……哦、胸部、快点、挤压、拜托了♥，已经极限了♥，我什么都愿意做的♥！」,「……お゛っ、おっぱいっ、早くっ、絞って、くらさいっ♥、もう限界っ♥、なんでもするからぁ♥！」,「……嗚♥，胸部、快點、幫我擠、出來♥，我已經到極限了♥，我什麼都願意做♥！」,「……呜♥，胸部、快点、帮我挤、出来♥，我已经到极限了♥，我什么都愿意做♥！」,"""Ohh, my breasts, please, milk them quickly♥ I can't do this anymore♥ I'll do anything♥""","「……오옷, 가슴, 빨리, 짜, 주세요♥, 이제 한계♥, 뭐든지 할 테니까♥!」"
,,,,,,,,,,
Akiho.Fallen2-33,戦闘員,「おいおい無敵の聖核戦姫が俺みたいな下っ端にそんなこと言っちゃっていいのか？聖核戦姫の名が泣くぞ？」,「The invincible Princess of Seikaku Warrior can say such a thing to a lowly fellow like me? You're going to make the name of the Holy Core Battlemaiden weep?」,「嘿嘿，無敵的聖核戰姬對像我這樣的小傢伙說這種話可以嗎？聖核戰姬的名聲會哭泣的喔？」,「嘿嘿，无敌的圣核战姬对像我这样的小家伙说这种话可以吗？圣核战姬的名声会哭泣的喔？」,「おいおい無敵の聖核戦姫が俺みたいな下っ端にそんなこと言っちゃっていいのか？聖核戦姫の名が泣くぞ？」,「哎呀哎呀，無敵的聖核戰姬對我這種小嘍囉說這種話好嗎？聖核戰姬的名聲都要被妳哭壞了喔？」,「哎呀哎呀，无敌的圣核战姬对我这种小喽啰说这种话好吗？圣核战姬的名声都要被妳哭坏了喔？」,"""Hey hey, is it really okay for an invincible Holy Core Battlemaiden to say something like that to a grunt like me? The rest of the Holy Core Battlemaidens will weep.""",「어이어이 무적의 성핵전희가 나 같은 졸개에게 그런 말 해도 되는 거냐? 성핵전희 이름이 울겠어?」
,,,,,,,,,,
Akiho.Fallen2-34,明穂,「そんなのどうでもいいっ！早く搾ってっ♥！おっぱい限界なのっ！なんでもするっ♥！」,「I don't care! Squeeze me quick! I'm at my titty limit! I'll do anything!」,「這種事情無所謂啦！快點擠壓♥！胸部已經極限了！我什麼都願意做的♥！」,「这种事情无所谓啦！快点挤压♥！胸部已经极限了！我什么都愿意做的♥！」,「そんなのどうでもいいっ！早く搾ってっ♥！おっぱい限界なのっ！なんでもするっ♥！」,「那種事怎樣都無所謂♥！快點擠出來♥！胸部快受不了了♥！我什麼都會做♥！」,「那种事怎样都无所谓♥！快点挤出来♥！胸部快受不了了♥！我什么都会做♥！」,"""I don't care about any of that! Hurry up and milk me♥ My breasts are at their limit! I'll do anything♥""",「그런 거 아무래도 좋아! 빨리 짜줘♥! 가슴 한계야! 뭐든지 할게♥!」
,,,,,,,,,,
Akiho.Fallen2-35,戦闘員,「そうかそうか、そこまで言われたらしゃあねえなあ？」,"「Oh, well, if you insist, what can I do?」",「是嗎是嗎，被這麼說了就沒辦法了吧？」,「是吗是吗，被这么说了就没办法了吧？」,「そうかそうか、そこまで言われたらしゃあねえなあ？」,「是喔是喔，既然妳都這麼說了，那我就勉為其難吧？」,「是喔是喔，既然妳都这么说了，那我就勉为其难吧？」,"""I see, I see. Well, if you're really saying that, I guess I have no choice.""","「그런가 그런가, 거기까지 말한다면 어쩔 수 없지?」"
,,,,,,,,,,
Akiho.Fallen2-36,明穂,「はやくっ♥、おっぱい搾ってっ♥！」,"「Quick, squeeze my tits!」",「快點♥，擠壓胸部♥！」,「快点♥，挤压胸部♥！」,「はやくっ♥、おっぱい搾ってっ♥！」,「快點♥，幫我把奶水擠出來♥！」,「快点♥，帮我把奶水挤出来♥！」,"""Hurry♥ Milk my breasts♥""","「빨리♥, 가슴 짜줘♥!」"
,,,,,,,,,,
Akiho.Fallen2-37,戦闘員,「ただ人にお願いする時にはそれなりの誠意がねえとなぁ？おら、俺のチンポを口で射精させられたら搾ってやってもいぞ？」,"「But when you ask someone for a favor, you have to be sincere, don't you? Hey, if you can make my dick ejaculate in your mouth, I'll squeeze it for you, okay?」",「只是向人求助時，不是也需要一定的誠意嗎？喂，如果你用嘴巴讓我射精，我也會滿足你的？」,「只是向人求助时，不是也需要一定的诚意吗？喂，如果你用嘴巴让我射精，我也会满足你的？」,「ただ人にお願いする時にはそれなりの誠意がねえとなぁ？おら、俺のチンポを口で射精させられたら搾ってやってもいぞ？」,「不過，要請人幫忙總要有相對應的誠意吧？來，妳要是能用嘴巴讓我的陰莖射精，我就幫妳擠出來喔？」,「不过，要请人帮忙总要有相对应的诚意吧？来，妳要是能用嘴巴让我的阴茎射精，我就帮妳挤出来喔？」,"""But when you're asking someone for a favor, you need to show some sincerity, right? Look, if you can make me come with your mouth, I might milk you.""","「단지 사람에게 부탁할 때는 그만한 성의가 있어야지? 자, 내 자지를 입으로 사정시키면 짜주도록 하지?」"
,,,,,,,,,,
Akiho.Fallen2-38,明穂,「ひっ♥、でっかっ♥、わ、わかりました、ヌきますっ♥、フェラするからっ！♥」,「I'm going to suck your cock! I'll blow you!」,「哎♥，好大♥，我、我知道了，我會幫你擠壓♥，我會給你口交的！♥」,「哎♥，好大♥，我、我知道了，我会帮你挤压♥，我会给你口交的！♥」,「ひっ♥、でっかっ♥、わ、わかりました、ヌきますっ♥、フェラするからっ！♥」,「咦♥，好大♥，我、我知道了，我幫你♥，我幫你口交♥！」,「咦♥，好大♥，我、我知道了，我帮你♥，我帮你口交♥！」,"""Hih♥ So big♥ I-I understand, I'll get you off♥ I'll give you a blowjob♥""","「히익♥, 크다♥, 아, 알겠습니다, 할게요♥, 펠라 할 테니까!♥」"
,,,,,,,,,,
Akiho.Fallen2-39,戦闘員,「おいおい即答かよ。聖核戦姫の誇りとかねえのか？」,"「Hey, hey, hey, hey, hey, quick answer. Aren't you proud to be a Holy Core Battlemaiden?」",「喂喂，這麼快就回答了啊。沒有聖核戰姬的驕傲嗎？」,「喂喂，这么快就回答了啊。没有圣核战姬的骄傲吗？」,「おいおい即答かよ。聖核戦姫の誇りとかねえのか？」,「喂喂，妳答應得也太快了吧。聖核戰姬的尊嚴跑哪去了？」,「喂喂，妳答应得也太快了吧。圣核战姬的尊严跑哪去了？」,"""Hey hey, an instant answer? Don't you have any Holy Core Battlemaiden pride?""",「어이어이 즉답인가. 성핵전희의 긍지 같은 건 없는 거냐?」
,2－6,,,,,,,,,
Akiho.Fallen2-40,明穂,「かぷっ♥！！、ちゅぷっ♥、むふぅっ♥、ちゅぱっ♥、ちゅぱっ♥」,"「I'm going to go to the bathroom and have a bath! Chupupu♥, muhu♥, chupu♥, chupu♥」",「噗♥！！、啾♥、嗯♥、啾啾♥、啾啾♥」,「噗♥！！、啾♥、嗯♥、啾啾♥、啾啾♥」,「かぷっ♥！！、ちゅぷっ♥、むふぅっ♥、ちゅぱっ♥、ちゅぱっ♥」,「含♥！！吸♥，姆呼♥，吸吮♥，吸吮♥」,「含♥！！吸♥，姆呼♥，吸吮♥，吸吮♥」,"""Gulp♥ Slurp♥ Mmph♥ Suck♥ Suck♥""","「카풋♥!!, 츄풋♥, 므훗♥, 츄팟♥, 츄팟♥」"
,,,,,,,,,,
Akiho.Fallen2-41,明穂,「そんなのっ♥、もうないっ♥、早く出してっ♥、おっぱい搾ってもらうのっ♥！」,"「I don't want it, I don't want it, I want it out of me, I want it out of me, I want my tits squeezed!」",「這樣的事情♥，已經沒有了♥，快點射出來♥，讓我擠壓胸部♥！」,「这样的事情♥，已经没有了♥，快点射出来♥，让我挤压胸部♥！」,「そんなのっ♥、もうないっ♥、早く出してっ♥、おっぱい搾ってもらうのっ♥！」,「那種東西♥，我早就沒有了♥，快點射出來♥，我要讓你們幫我擠奶的♥！」,「那种东西♥，我早就没有了♥，快点射出来♥，我要让你们帮我挤奶的♥！」,"""I don't have any♥ of that anymore♥ Hurry up and come♥ I need my breasts milked♥""","「그런 건♥, 이제 없어♥, 빨리 싸줘♥, 가슴 짜줄 거니까♥!」"
,,,,,,,,,,
