Key,Comment,Japanese,Japanese_Steam,Traditional Chinese_Steam,English,Traditional Chinese,Simplified Chinese,English_Steam,Korean_Steam,Simplified Chinese_Steam
,,,,,,,,,,
Daiya.Fallen2-39,,「しかし負けた暁には…私の好きにさせてもらおうか。」,「しかし負けた暁には…私の好きにさせてもらおうか。」,「不過妳要是輸了的話…屆時就任我處置了。」,,「但是如果你輸了…就讓我隨心所欲地做吧。」,,"""But if you lose... I'll do as I please with you.""",「하지만 패배하게 된다면… 내 마음대로 하도록 하지.」,「不过你要是输了的话…届时就任我处置了。」
,,,,,,,,,,
Daiya.Fallen2-40,ダイヤ,(ぐうっ……コイツの慰み者になるのはっ……避けられないかっ………！),(ぐうっ……コイツの慰み者になるのはっ……避けられないかっ………！),（嗚……看來是…無法避免…要成為這傢伙的玩物了嗎……！）,,(咕嚕……成為這傢伙的安慰者……難以避免嗎……！),,(Guuh... becoming this thing's toy... Is it unavoidable...?!),(크윽…… 이 녀석의 노리개가 되는 것은…… 피할 수 없나………!),（呜……看来是…无法避免…要成为这家伙的玩物了吗……！）
,,,,,,,,,,
Daiya.Fallen2-41,,(それならっ……覚悟を決めるしかないっ……私は……勝たなければいけないのだからっ…！),(それならっ……覚悟を決めるしかないっ……私は……勝たなければいけないのだからっ…！),（既然如此……只能下定決心了……我……必須要贏…！）,,那麼……我只能做好準備……我……必須贏！,,(Then... I have no choice but to steel my resolve... I... must win...!),(그렇다면…… 각오를 다질 수밖에 없어…… 나는…… 이겨야 하니까…!),（既然如此……只能下定决心了……我……必须要赢…！）
,,,,,,,,,,
Daiya.Fallen2-42,ダイヤ,「はっ♥、はっ♥、ぐっ…そんなの……望むところ…だっ！」,「はっ♥、はっ♥、ぐっ…そんなの……望むところ…だっ！」,「哈♥、哈♥，嗚…那種事……正合我意…！」,,「咿♥，咿♥，咕……這樣的……正合我意……！」,,"""Hah♥ hah♥ guh... that's... exactly what I want...!""","「핫♥, 핫♥, 크윽… 그런 건…… 바라는 바…다!」",「哈♥、哈♥、呜…那种事……正合我意…！」
,,,,,,,,,,
Daiya.Fallen2-43,,「私はっ…最強の聖核戦姫だっ！こんな……チンポなんかに…負けないっ！」,「私はっ…最強の聖核戦姫だっ！こんな……チンポなんかに…負けないっ！」,「我…是最強的聖核戰姫！才不會…輸給這種…雞巴！」,,「我……是最強的聖核戰姬！這種……雞巴什麼的……我不會輸的！」,,"""I am... the strongest Holy Core Battlemaiden! I won't lose... to something like this!""",「나는… 최강의 성핵전희다! 이런…… 자지 따위에… 지지 않아!」,「我…是最强的圣核战姫！才不会…输给这种…鸡巴！」
,,,,,,,,,,
Daiya.Fallen2-44,,ダイヤは震えを噛み殺しながら虚勢を張り怪人に宣言する。,ダイヤは震えを噛み殺しながら虚勢を張り怪人に宣言する。,黛雅強忍著顫抖，虛張聲勢地對怪人宣言。,,黛雅咬緊牙關，壓抑著顫抖，向怪人宣告。,,Daiya declared to the fiend with false bravado while suppressing her trembling.,다이아는 떨림을 억누르며 허세를 부려 괴인에게 선언한다.,黛雅强忍着颤抖，虚张声势地对怪人宣言。
,,,,,,,,,,
Daiya.Fallen2-45,,(そうだっ、何を弱気になっている…いくら強い怪人だろうと…私は戦うだけだっ！),(そうだっ、何を弱気になっている…いくら強い怪人だろうと…私は戦うだけだっ！),（沒錯，我幹嘛這麼軟弱…無論是多強的怪人…我只要戰鬥就好了！）,,(沒錯，為什麼要變得膽怯呢…無論對方是多麼強大的怪人…我只知道戰鬥！),,"(That's right, why am I being weak... no matter how strong the fiend... I just have to fight!)","(그래, 뭘 약한 소리를 하고 있는 거야… 아무리 강한 괴인이라도… 나는 싸울 뿐이다!)",（没错，我干嘛这么软弱…无论是多强的怪人…我只要战斗就好了！）
,,,,,,,,,,
Daiya.Fallen2-46,ダイヤ,「こんなチンポに…チンポなんかに――――」,「こんなチンポに…チンポなんかに――――」,「對這種雞巴…對雞巴這種東西――――」,,「這種雞巴什麼的…雞巴什麼的――――」,,"""To something like this... to something like...""",「이런 자지에… 자지 따위에――――」,「对这种鸡巴…对鸡巴这种东西――――」
,,,,,,,,,,
Daiya.Fallen2-47,Daiya darkness 1-4,ズボッッ、ドチュンッッ！！,ズボッッ、ドチュンッッ！！,噗滋、咚啾！！,,啪嗒、扑通！！,,Thrust! Slam!,즈봇!! 도츗!!,噗滋、咚啾！！
,,,,,,,,,,
Daiya.Fallen2-48,ダイヤ,「ひっぎゅうううううっっ！！？！？！」,「ひっぎゅうううううっっ！！？！？！」,「呀嗚嗚嗚嗚嗚！！？！？！」,,「嘿咕咕咕咕咕！！？！？！」,,"""Higyuuuuuuuuu!!?!?!""",「히익규우우우우웃!!?!?!」,「呀呜呜呜呜呜！！？！？！」
,,,,,,,,,,
Daiya.Fallen2-49,,怪人がダイヤを下ろし、怪人チンポがダイヤへ挿入される,怪人がダイヤを下ろし、怪人チンポがダイヤへ挿入される,怪人將黛雅放下，怪人的雞巴插入了黛雅體內,,怪人將黛雅推倒，怪人的雞巴插進了黛雅身體。,,The fiend lowered Daiya onto its cock.,"괴인이 다이아를 내리고, 괴인 자지가 다이아에게 삽입된다",怪人将黛雅放下，怪人的鸡巴插入了黛雅体内
,,,,,,,,,,
Daiya.Fallen2-50,,「お゛っお゛お゛お゛お゛お゛お゛っっっ！？」,「お゛っお゛お゛お゛お゛お゛お゛っっっ！？」,「喔喔喔喔喔喔喔喔！？」,,「噢咕咕咕咕咕咕咕咕！！？」,,"""Oghoghoghoghoghoghoghhhh?!""",「오옷 옷오옷 오옷 오옷 오옷 오옷 오옷 옷!!!?」,「喔喔喔喔喔喔喔喔！？」
,,,,,,,,,,
Daiya.Fallen2-51,,プシッ♥、プシュウウウウウッッ♥,プシッ♥、プシュウウウウウッッ♥,噗滋♥、噗咻嗚嗚嗚嗚♥,,啪嗒♥、噗嘟嘟嘟嘟嘟♥,,Squirt♥ Gushhhhhhh♥,"푸싯♥, 푸슈우우우우웃♥",噗滋♥、噗咻呜呜呜呜♥
,,,,,,,,,,
Daiya.Fallen2-52,,「お゛おっ、ひっ♥、お゛っ♥、お゛っ！？」,「お゛おっ、ひっ♥、お゛っ♥、お゛っ！？」,「喔喔、呀♥、喔♥、喔！？」,,「噢咕、嘿♥、噢♥、噢！？」,,"""Oghoh, hih♥ ogh♥ ogh?!""","「오옷 오옷, 히익♥, 오옷 옷♥, 오옷 옷!?」",「喔喔、呀♥、喔♥、喔！？」
,,,,,,,,,,
Daiya.Fallen2-53,那由多,「おやおや…ダイヤちゃんおちんぽ一撃即イキで潮吹いちゃってますね？残念ながら早速ダイヤちゃんの負けです。」,「おやおや…ダイヤちゃんおちんぽ一撃即イキで潮吹いちゃってますね？残念ながら早速ダイヤちゃんの負けです。」,「哎呀哎呀…黛雅小姐被雞巴一插就立刻高潮噴潮了呢？真可惜，看來是黛雅小姐輸了。」,,「哦呀哦呀…黛雅小姐一擊就高潮噴潮了嗎？很遺憾，黛雅小姐立刻就輸了。」,,"""Oh my... You climaxed and squirted from just one thrust?! Unfortunately, you lost.""",「어머어머… 다이아쨩 자지 한 방에 즉시 가서 분수 싸버렸네요? 유감스럽게도 바로 다이아쨩의 패배입니다.」,「哎呀哎呀…黛雅小姐被鸡巴一插就立刻高潮喷潮了呢？真可惜，看来是黛雅小姐输了。」
,Daiya darkness 1-6,,,,,,,,,
Daiya.Fallen2-54,ダイヤ,「お゛お゛っ、ま、まけてにゃいっ♥！」,「お゛お゛っ、ま、まけてにゃいっ♥！」,「喔喔、才、才沒輸♥！」,,「噢咕咕、不、不要輸給你喵♥！」,,"""Oghogh, I-I haven't losht♥!""","「오옷 오옷 옷, 자, 지지 않았어♥!」",「喔喔、才、才没输♥！」
,,,,,,,,,,
Daiya.Fallen2-55,,「わたしはっ、このていどでっ♥、まけないいいぃッ！！」,「わたしはっ、このていどでっ♥、まけないいいぃッ！！」,「我、才不會…因為這種程度♥、就輸掉！！」,,「我就是這樣的♥，絕對不會輸的！！」,,"""I won't... loshe to thish♥ It's not over!""","「나는, 이 정도로♥, 지지 않아아아아잇!!」",「我、才不会…因为这种程度♥、就输掉！！」
,,,,,,,,,,
Daiya.Fallen2-56,那由多,「まあ……おちんぽに串刺しで無様に潮を吹きながらよくそんなことが言えますね。」,「まあ……おちんぽに串刺しで無様に潮を吹きながらよくそんなことが言えますね。」,「真是…被雞巴插著、狼狽地噴著潮水，妳還真敢說呢。」,,「哎呀……被串刺後還潮水四濺，還能說出這種話來，真是厲害呢。」,,"""Well... you can say that while being skewered and squirting so shamefully.""",「뭐…… 자지에 꼬챙이 꽂혀 꼴사납게 분수 싸면서 잘도 그런 말을 할 수 있네요.」,「真是…被鸡巴插着、狼狈地喷着潮，你还真敢说呢。」
,,,,,,,,,,
Daiya.Fallen2-57,,「だそうですので…ご主人様、もっとそのおちんぽ様で分からせてあげてください♥」,「だそうですので…ご主人様、もっとそのおちんぽ様で分からせてあげてください♥」,「既然她都這麼說了…主人，請用您的雞巴大人讓她更明白事理吧♥」,,「據說是這樣的…主人，請用您的那位令人明白的物件讓我知道吧♥」,,"""That being the case... Master, please make her understand the situation with your cock""","「라고 합니다… 주인님, 더욱 그 자지님으로 깨닫게 해주세요♥」",「既然她都这么说了…主人，请用您的鸡巴大人让她更明白事理吧♥」
,,,,,,,,,,
Daiya.Fallen2-58,怪人,「ああ、もちろんだ。」,「ああ、もちろんだ。」,「啊啊，當然。」,,「啊，當然。」,,"""Ah, of course.""","「아아, 물론이다.」",「啊啊，当然。」
,,,,,,,,,,
Daiya.Fallen2-59,ダイヤ,「はあっはあっ、ひいっ…ま、まって――――」,「はあっはあっ、ひいっ…ま、まって――――」,「哈啊哈啊、噫…等、等一下――――」,,「呼呼，喘息…等、等一下——」,,"""Haah, haah, hii... w-wait...""","「하앗하앗, 히잇… 자, 잠깐――――」",「哈啊哈啊、噫…等、等一下――――」
,,,,,,,,,,
Daiya.Fallen2-60,Daiya darkness 1-5,ズチュッ！！ズチュッ！！ズチュッ！！,ズチュッ！！ズチュッ！！ズチュッ！！,噗啾！！噗啾！！噗啾！！,,噗噗！！噗噗！！噗噗！！,,Squelch! Squelch! Squelch!,즈츗!! 즈츗!! 즈츗!!,咚啾！！咚啾！！咚啾！！
,,,,,,,,,,
Daiya.Fallen2-61,ダイヤ,「ほお゛っ！？お゛おっ♥、ほお゛ほっ！？！！」,「ほお゛っ！？お゛おっ♥、ほお゛ほっ！？！！」,「吼喔！？喔喔♥、吼喔喔！？！！」,,「嗚哦！？哦♥，嗚哦！？！！」,,"""Hoghh?! Oghoh♥ hoghhoh?!!!""","「호오옷 옷!? 오옷 오옷♥, 호오옷 홋!?!!」",「吼喔！？喔喔♥、吼喔喔！？！！」
,,,,,,,,,,
Daiya.Fallen2-62,,膣内を怪人の巨大で熱した鉄のようなペニスが上下し、一突きごとにダイヤの意識を削っていく,膣内を怪人の巨大で熱した鉄のようなペニスが上下し、一突きごとにダイヤの意識を削っていく,怪人巨大而灼熱如鐵的雞巴在陰道內上下抽送，每一次的衝撞都在削弱黛雅的意識。,,怪人的巨大、熱如鐵的陽具在膣內上下移動，每一次刺入都削弱著黛雅的意識。,,"The fiend's enormous, hot iron-like cock moved up and down inside her, chipping away at Daiya's consciousness with each thrust.","질 내를 괴인의 거대하고 뜨거운 철 같은 페니스가 상하로 움직이며, 한 번 찌를 때마다 다이아의 의식을 깎아간다",怪人巨大而灼热如铁的鸡巴在阴道内上下抽送，每一次的冲撞都在削弱黛雅的意识。
,,,,,,,,,,
Daiya.Fallen2-63,,「お゛おっ♥、ま、っ♥、まってえっ♥、そんなっ♥…いぎゅうっ♥！？」,「お゛おっ♥、ま、っ♥、まってえっ♥、そんなっ♥…いぎゅうっ♥！？」,「喔喔♥、等、♥、等一下♥、那樣♥…呀嗚♥！？」,,「哦♥，等♥，等一下♥，這樣♥…唔♥！？」,,"""Oghoh♥ w-♥ waaait♥ not like♥... igyuuh♥?!""","「오옷 오옷♥, 자, 윽♥, 잠깐만요♥, 그런♥… 이규웃♥!?」",「喔喔♥、等、♥、等一下♥、那样♥…呀呜♥！？」
,,,,,,,,,,
Daiya.Fallen2-64,那由多,「あははっ、ダイヤちゃんのかっこよかった腹筋…おちんぽの形に浮き出ちゃってますね！」,「あははっ、ダイヤちゃんのかっこよかった腹筋…おちんぽの形に浮き出ちゃってますね！」,「啊哈哈，黛雅小姐引以為傲的腹肌…都浮現出雞巴的形狀了呢！」,,「啊哈哈，黛雅的帥氣腹肌…竟然浮現出陽具的形狀呢！」,,"""Ahaha, your amazing abs... are bulging in the shape of his cock!""","「아하핫, 다이아쨩의 멋있었던 복근… 자지 모양으로 부풀어 올랐네요!」",「啊哈哈，黛雅小姐引以为傲的腹肌…都浮现出鸡巴的形状了呢！」
,,,,,,,,,,
Daiya.Fallen2-65,,「イキ潮も止まりませんね。一体さっきから何回絶頂しているのでしょうか？」,「イキ潮も止まりませんね。一体さっきから何回絶頂しているのでしょうか？」,「高潮的噴潮也停不下來呢。從剛才到現在，妳到底絕頂幾次了啊？」,,「高潮也沒有停止呢。從剛才到底已經達到多少次絕頂了呢？」,,"""Your squirting won't stop either. I wonder how many times you've climaxed already?!""",「가는 조수도 멈추지 않네요. 대체 아까부터 몇 번이나 절정하고 있는 걸까요?」,「高潮的喷潮也停不下来呢。从刚才到现在，你到底绝顶几次了啊？」
,Daiya darkness 1-7,,,,,,,,,
Daiya.Fallen2-66,ダイヤ,「ひぎゅうっ！！ま、まけてないぃ♥！！こんなチンポなんかにっ♥、けどっ、や、やめろぉ♥♥！！」,「ひぎゅうっ！！ま、まけてないぃ♥！！こんなチンポなんかにっ♥、けどっ、や、やめろぉ♥♥！！」,「呀嗚！！才、才沒輸♥！！才不會輸給這種雞巴♥、但是、住、住手啊♥♥！！」,,「嗚唔！！我、我還沒輸♥！！對這樣的陽具♥，但是、停、停下來♥♥！！」,,"""Higyuu!! I-I haven't lost♥!! To something like this♥ but, s-stop it♥♥!!""","「히규웃!! 자, 지지 않았어♥!! 이런 자지 따위에♥, 하지만, 그, 그만둬어♥♥!!」",「呀呜！！才、才没输♥！！才不会输给这种鸡巴♥、但是、住、住手啊♥♥！！」
,,,,,,,,,,
Daiya.Fallen2-67,,ジュポンッ！ドチュッ！ドチュッ！！,ジュポンッ！ドチュッ！ドチュッ！！,啾啵！咚啾！咚啾！！,,噗唰！噗噗！噗噗！！,,Plunge! Slam! Slam!,쥬퐁! 도츗! 도츗!!,啾啵！咚啾！咚啾！！
,,,,,,,,,,
Daiya.Fallen2-68,那由多,「無駄ですよ？あなたの体はもうオナホなんですから。じきにおちんぽの事しか考えられなくなりますので。」,「無駄ですよ？あなたの体はもうオナホなんですから。じきにおちんぽの事しか考えられなくなりますので。」,「沒用的喔？妳的身體已經是自慰套了。很快妳就會滿腦子只剩下雞巴了。」,,「白費力氣的喔？因為你的身體已經成為了自慰器。很快就只會想著陽具了。」,,"""It's useless. Your body is already a toy. Soon you won't be able to think of anything but his cock.""",「소용없어요? 당신 몸은 이미 오나홀이니까요. 곧 자지 생각밖에 할 수 없게 될 겁니다.」,「没用的喔？你的身体已经是自慰套了。很快你就会满脑子只剩下鸡巴了。」
,,,,,,,,,,
Daiya.Fallen2-69,ダイヤ,「ちっ、ちがうううっ♥♥！わたしはっ…！聖核戦姫っ♥！こんなチンポのオナホなんかにっ♥ならないっ♥！」,「ちっ、ちがうううっ♥♥！わたしはっ…！聖核戦姫っ♥！こんなチンポのオナホなんかにっ♥ならないっ♥！」,「才、才不是♥♥！我是…！聖核戰姫♥！才不會♥變成這種雞巴的自慰套♥！」,,「呸、不、不對♥♥！我是…！聖核戰姬♥！絕不會成為這樣陽具的自慰器♥！」,,"""N-noooo♥♥! I am...! A Holy Core Battlemaiden♥! I won't become a sex toy for this thing♥!""","「아, 아니야아아앗♥♥! 나는…! 성핵전희♥! 이런 자지의 오나홀 따위에♥ 되지 않아♥!」",「才、才不是♥♥！我是…！圣核战姫♥！才不会♥变成这种鸡巴的自慰套♥！」
,,,,,,,,,,
Daiya.Fallen2-70,,「さ、ご主人様、頭の悪いダイヤちゃんがちゃんと自分をオナホだと認めるまで躾けちゃってください！」,「さ、ご主人様、頭の悪いダイヤちゃんがちゃんと自分をオナホだと認めるまで躾けちゃってください！」,「來吧主人，在腦袋不清楚的黛雅小姐能確實承認自己是自慰套之前，好好地調教她吧！」,,「主人，請好好調教那個愚蠢的黛雅小姐，直到她承認自己就是個自慰器為止！」,,"""Now, Master, please discipline the foolish Daiya until she knows her place!""","「자, 주인님, 머리 나쁜 다이아쨩이 제대로 자신을 오나홀이라고 인정할 때까지 벌을 주세요!」",「来吧主人，在脑袋不清楚的黛雅小姐能确实承认自己是自慰套之前，好好地调教她吧！」
,,,,,,,,,,
Daiya.Fallen2-71,怪人,「うむ。」,「うむ。」,「嗯。」,,「嗯。」,,"""Hmm.""",「음.」,「嗯。」
,,,,,,,,,,
Daiya.Fallen2-72,ダイヤ,「や、ひあっ、や、やめろぉ！！」,「や、ひあっ、や、やめろぉ！！」,「呀、呀啊、住、住手啊！！」,,「呀、嗚啊、呀、停下啊！！」,,"""N-no, hiah, s-stop it!!""","「야, 히앗, 야, 그만둬!!」",「呀、呀啊、住、住手啊！！」
,,,,,,,,,,
Daiya.Fallen2-73,Daiya darkness 1-5,ドチュンッッ、ズボッッ！！ズボッ！！,ドチュンッッ、ズボッッ！！ズボッ！！,咚啾、噗滋！！噗滋！！,,「咚噹──，嗡──！！嗡──！！」,,Slam! Thrust! Thrust!,도츗!! 즈봇!! 즈봇!!,咚啾、噗滋！！噗滋！！
,,,,,,,,,,
Daiya.Fallen2-74,,「ほお゛っ！？お゛おっ♥、ほお゛ほっ～～～～♥♥！？！！」,「ほお゛っ！？お゛おっ♥、ほお゛ほっ～～～～♥♥！？！！」,「吼喔！？喔喔♥、吼喔喔～～～～♥♥！？！！」,,「嗯咦！？哦哦♥，嗯咦～～～～♥♥！？！！」,,"""Hoghh?! Oghoh♥ hoghhoh♥♥?!!!""","「호오옷 옷!? 오옷 오옷♥, 호오옷 홋~~~~♥♥!?!!」",「吼喔！？喔喔♥、吼喔喔～～～～♥♥！？！！」
,,,,,,,,,,
Daiya.Fallen2-75,,「う゛うああっ！！、わたしはっ、まけないいっ♥！！」,「う゛うああっ！！、わたしはっ、まけないいっ♥！！」,「嗚哇啊啊！！我、才不會輸！！」,,「嗚咦啊啊！！我，不會輸的♥！！」,,"""Uuaaah!! I won't... lose♥!!""","「으옷 으아앗!!, 나는, 지지 않아♥!!」",「呜哇啊啊！！我、才不会输！！」
,,,,,,,,,,
Daiya.Fallen2-76,,「こんな怪人のおちんぽなんかにっ！わたしはっ♥、くっしないっ～～♥！！！」,「こんな怪人のおちんぽなんかにっ！わたしはっ♥、くっしないっ～～♥！！！」,「才不會輸給這種怪人的雞巴！我才♥、不會屈服～～♥！！！」,,「這種怪人的傢伙！我才不會♥，輸給你呢～～♥！！！」,,"""To this fiend's cock! I won't♥ submit♥!!!""","「이런 괴인의 자지 따위에! 나는♥, 굴하지 않아~~♥!!!」",「才不会输给这种怪人的鸡巴！我才♥、不会屈服～～♥！！！」
,,,,,,,,,,
Daiya.Fallen2-77,那由多,「いいえ、残念ですが聖核戦姫としてのあなたはここで終わりです。」,「いいえ、残念ですが聖核戦姫としてのあなたはここで終わりです。」,「不，很可惜，身為聖核戰姫的妳到此為止了。」,,「不好意思，作為聖核戰姬的你在這裡將結束了。」,,"""No, unfortunately your time as a Holy Core Battlemaiden ends here.""","「아니요, 유감스럽지만 성핵전희로서의 당신은 여기서 끝입니다.」",「不，很可惜，身为圣核战姫的你到此为止了。」
,,,,,,,,,,
Daiya.Fallen2-78,,ズチュッ！！ズチュッ！！ズチュッ！！ドチュッ！,ズチュッ！！ズチュッ！！ズチュッ！！ドチュッ！,咚啾！！咚啾！！咚啾！！咚啾！,,「嗡──！！嗡──！！嗡──！！咚噹！」,,Squelch! Squelch! Squelch! Slam!,즈츗!! 즈츗!! 즈츗!! 도츗!,咚啾！！咚啾！！咚啾！！咚啾！
,,,,,,,,,,
Daiya.Fallen2-79,ダイヤ,「くそおっ！！、そんなわけがっ！！、私は怪人のオナホなんかにはっ！！なりたくないっ♥♥！！」,「くそおっ！！、そんなわけがっ！！、私は怪人のオナホなんかにはっ！！なりたくないっ♥♥！！」,「可惡！！才不是那樣！！我才不要變成怪人的自慰套！！不想啊♥♥！！」,,「可惡！！這怎麼可能！！我才不想成為怪人的玩具♥♥！！」,,"""Damn it!! That can't be!! I don't want to become a fiend's sex toy♥♥!!""","「젠장!!, 그럴 리가!!, 나는 괴인의 오나홀 따위는!! 되고 싶지 않아♥♥!!」",「可恶！！才不是那样！！我才不要变成怪人的自慰套！！不想啊♥♥！！」
,,,,,,,,,,
Daiya.Fallen2-80,那由多,「いいえ、貴女の負けですよ？今あなたが生かされてるのもご主人様のおちんぽに奉仕するため…それ以外の価値はありません。」,「いいえ、貴女の負けですよ？今あなたが生かされてるのもご主人様のおちんぽに奉仕するため…それ以外の価値はありません。」,「不，就是妳輸了喔？妳現在還能活著，也是為了服侍主人的雞巴…除此之外妳沒有任何價值。」,,「不，妳輸了哦？現在妳還活著，只是為了服侍主人的傢伙…除此之外沒有其他價值。」,,"""No, you've lost. The only reason you're kept alive is to service Master's cock... you have no other value.""","「아니요, 당신의 패배예요? 지금 당신이 살아있는 것도 주인님의 자지에 봉사하기 위해서… 그 외의 가치는 없습니다.」",「不，就是你输了喔？你现在还能活着，也是为了服侍主人的鸡巴…除此之外你没有任何价值。」
,,,,,,,,,,
Daiya.Fallen2-81,,「あなたがこれまで苦労して鍛えてきたのも、聖核戦姫として戦ってきたのも、全ては締りの良いオナホになるためだったんですね。」,「あなたがこれまで苦労して鍛えてきたのも、聖核戦姫として戦ってきたのも、全ては締りの良いオナホになるためだったんですね。」,「妳至今為止辛苦鍛鍊，以及作為聖核戰姫戰鬥，全都是為了成為一個緊實好用的自慰套呢。」,,「你為了這一切努力鍛鍊，為了作為聖核戰姬而戰鬥，原來一切都是為了成為一個緊緻的玩具呢。」,,"""All your hard training, all your battles as a Holy Core Battlemaiden, it was all just to become a tight sex toy.""","「당신이 지금까지 고생해서 단련해 온 것도, 성핵전희로서 싸워 온 것도, 모두는 조임 좋은 오나홀이 되기 위해서였군요.」",「你至今为止辛苦锻炼，以及作为圣核战姫战斗，全都是为了成为一个紧实好用的自慰套呢。」
,,,,,,,,,,
Daiya.Fallen2-82,ダイヤ,「や、やだあっ！！私はっ…そんなことのためにっ！戦ってきたんじゃない！！」,「や、やだあっ！！私はっ…そんなことのためにっ！戦ってきたんじゃない！！」,「不、不要啊！！我才不是…！才不是為了那種事而戰鬥的！！」,,「呀、不要啊！！我…可不是為了這種事情才戰鬥的！！」,,"""N-no!! I didn't... fight for something like that!!""","「야, 싫어엇!! 나는… 그런 것을 위해! 싸워 온 게 아니야!!」",「不、不要啊！！我才不是…！才不是为了那种事而战斗的！！」
,,,,,,,,,,
Daiya.Fallen2-83,那由多,「ふふっ、ですが四肢を取られ無様に喘ぐ今のあなたはそれにしか見えませんよ。」,「ふふっ、ですが四肢を取られ無様に喘ぐ今のあなたはそれにしか見えませんよ。」,「呵呵，可是四肢被奪走、狼狽喘息著的妳，看起來就只是那樣喔。」,,「呼呼，但是現在四肢被割斷，無助地喘息的你，看起來就像那樣而已。」,,"""Fufu, but look at you now... Limbless and moaning shamefully, that's all you appear to be.""","「후훗, 하지만 사지를 빼앗기고 꼴사납게 신음하는 지금의 당신은 그것으로밖에 보이지 않아요.」",「呵呵，可是四肢被夺走、狼狈喘息着的你，看起来就只是那样喔。」
,,,,,,,,,,
Daiya.Fallen2-84,ダイヤ,「お゛っ♥！お゛っ♥！お゛お゛っ♥！くしょおっ！！」,「お゛っ♥！お゛っ♥！お゛お゛っ♥！くしょおっ！！」,「喔♥！喔♥！喔喔♥！可惡！！」,,「喔♥！喔♥！喔喔♥！可惡！！」,,"""Ogh♥! Ogh♥! Oghogh♥! Damn it!!""",「오옷 옷♥! 오옷 옷♥! 오옷 오옷 옷♥! 젠장!!」,「喔♥！喔♥！喔喔♥！可恶！！」
,,,,,,,,,,
Daiya.Fallen2-85,Daiya darkness 1-7,(ぐうううっ♥、おちんぽに体の奥までずぼずぼされてっ♥、意識が持たないっ…♥！！),(ぐうううっ♥、おちんぽに体の奥までずぼずぼされてっ♥、意識が持たないっ…♥！！),（嗚嗚嗚♥、被雞巴插到身體深處♥、意識快要撐不住了…♥！！）,,「咕嗚嗚♥，被陽具戳到身體深處♥，意識快要消失了…♥！！」,,(Guuuh♥ His cock is going so deep♥ I can't maintain my consciousness...♥!!),"(크으으윽♥, 자지에 몸속 깊이까지 즈봇즈봇 당해서♥, 의식이 버티지 못해…♥!!)",（呜呜呜♥、被鸡巴插到身体深处♥、意识快要撑不住了…♥！！）
,,,,,,,,,,
Daiya.Fallen2-86,,(私がっ♥、こんな所で終わるわけが…っ♥！！ヒスイがっ…やり遂げるまではっ…♥！),(私がっ♥、こんな所で終わるわけが…っ♥！！ヒスイがっ…やり遂げるまではっ…♥！),（我♥、怎麼能在這種地方結束…♥！！在翡翠…完成任務之前…♥！）,,(我♥，怎麼可能就這樣結束…♥！！翡翠…直到完成…♥！),,(I can't♥ end in a place like this...♥!! Not until Hisui... accomplishes her goal...♥!),"(내가♥, 이런 곳에서 끝날 리가…♥!! 히스이가… 해낼 때까지는…♥!)",（我♥、怎么能在这种地方结束…♥！！在翡翠…完成任务之前…♥！）
,,,,,,,,,,
Daiya.Fallen2-87,Daiya darkness 1-5,ドチュンッッ、ズボッッ！！ズボッ！！ドチュッ！！,ドチュンッッ、ズボッッ！！ズボッ！！ドチュッ！！,咚啾、噗滋！！噗滋！！咚啾！！,,咚噹！！啪嗒！！啪嗒！！咚！！,,Slam! Thrust! Thrus,도츗!! 즈봇!! 즈봇!! 도츗!!,咚啾、噗滋！！噗滋！！咚啾！！
,,,,,,,,,,
Daiya.Fallen2-88,,「お゛おっ、ひっ♥、お゛っ♥、お゛っ♥」,「お゛おっ、ひっ♥、お゛っ♥、お゛っ♥」,「喔喔、呀♥、喔♥、喔♥」,,「喔喔、嗚♥、喔♥、喔♥」,,"""Hehih♥ ogh♥ ogh♥ oghoh♥""","「오옷 오옷, 히익♥, 오옷 옷♥, 오옷 옷♥」",「喔喔、呀♥、喔♥、喔♥」
,,,,,,,,,,
Daiya.Fallen2-89,,いくら抵抗しようとしても、怪人によって軽々と扱われるダイヤにはもはやなすすべがない,いくら抵抗しようとしても、怪人によって軽々と扱われるダイヤにはもはやなすすべがない,無論多想抵抗，被怪人輕易玩弄於股掌間的黛雅已經無計可施,,無論怎麼掙扎，對怪人來說輕而易舉的黛雅已經無路可走。,,"No matter how much she tried to resist, Daiya was handled so easily by the fiend that she was utterly helpless.","아무리 저항하려 해도, 괴인에게 가볍게 다뤄지는 다이아에게는 이제 어쩔 도리가 없다",无论多想抵抗，被怪人轻易玩弄于股掌间的黛雅已经无计可施
,,,,,,,,,,
Daiya.Fallen2-90,ダイヤ,「へひっ♥、お゛っ♥、お゛っ♥、お゛おっ♥」,「へひっ♥、お゛っ♥、お゛っ♥、お゛おっ♥」,「嚇呀♥、喔♥、喔♥、喔喔♥」,,「喔喔♥、喔♥、喔♥、喔喔♥」,,"""Hehih♥ ogh♥ ogh♥ oghoh♥""","「헤힛♥, 오옷 옷♥, 오옷 옷♥, 오옷 오옷♥」",「吓呀♥、喔♥、喔♥、喔喔♥」
,,,,,,,,,,
