Key,Japanese,English,Traditional Chinese,Simplified Chinese,Japanese_Steam,English_Steam,Traditional Chinese_Steam,Simplified Chinese_Steam,Korean_Steam
Memory.Final,最後の二人の聖核戦姫,The Last Two Seikaku Princess,最後的聖核戰姬,最后的圣核战姬,最後の二人の聖核戦姫,The Last Two Seikaku Princess,最後的聖核戰姬,最后的圣核战姬,마지막 2명의 성핵전희
Memory.Kei,小悪魔の日常,A Succubus' Day,小惡魔的日常,小恶魔的日常,小悪魔の日常,A Succubus' Day,小惡魔的日常,小恶魔的日常,소악마의 일상
Memory.Erenayuta,最強の二人,The Strongest Duo,最強的兩人,最强的两人,最強の二人,The Strongest Duo,最強的兩人,最强的两人,최강의 두 사람
Memory.SeikakuEquip,聖核加工工場,Seikaku Factory,聖核加工厂,圣核加工厂,聖核加工工場,Seikaku Factory,聖核加工工廠,圣核加工厂,성핵 가공 공장
Memory.Prologue,プロローグ,Prologue,序章,序章,プロローグ,Prologue,序章,序章,서장
Memory.DLC1-1,最後の作戦,Final Operation,最後的作戰,最后的作战,最後の作戦,Final Operation,最後的作戰,最后的作战,최후의 작전
Memory.DLC1-2,潜入成功,Infiltration Successful,潛入成功,潜入成功,潜入成功,Infiltration Successful,潛入成功,潜入成功,잠입 성공
Memory.DLC1-3,旧識,Old Acquaintances,舊識,旧识,旧識,Old Acquaintances,舊識,旧识,옛 지인
Memory.DaiyaCapture,ダイヤモンド捕獲,Diamond Captured,捕獲黛雅,捕获黛雅,ダイヤモンド捕獲,Daiya Captured,捕獲黛雅,捕获黛雅,다이아 포획
Memory.DLC2-1,秘密兵器,Secret Weapon,秘密兵器,秘密兵器,秘密兵器,Secret Weapon,秘密兵器,秘密兵器,비밀 병기
Memory.DLC2-2,京の計画,Kei's Plan,京的計畫,京的计划,京の計画,Kei's Plan,京的計畫,京的计划,쿄의 계획
Memory.DLC2-3,反乱,Rebellion,反亂,反乱,反乱,Rebellion,叛變,反乱,반란
Memory.DaiyaBrainWash_1,ダイヤモンド - 財団の犬 I,Diamond - The Foundation's Dog I,黛雅 - 財團的狗 I,黛雅 - 财团的狗 I,ダイヤモンド - 財団の犬 I,Diamond - The Foundation's Dog I,黛雅 - 財團的狗 I,黛雅 - 财团的狗 I,다이아몬드 - 재단의 개 I
Memory.DaiyaBrainWash_2,ダイヤモンド - 財団の犬 II,Diamond - The Foundation's Dog II,黛雅 - 財團的狗 II,黛雅 - 财团的狗 II,ダイヤモンド - 財団の犬 II,Diamond - The Foundation's Dog II,黛雅 - 財團的狗 II,黛雅 - 财团的狗 II,다이아몬드 - 재단의 개 II
Memory.DaiyaBrainWash_3,ダイヤモンド - 財団の犬 III,Diamond - The Foundation's Dog III,黛雅 - 財團的狗 III,黛雅 - 财团的狗 III,ダイヤモンド - 財団の犬 III,Diamond - The Foundation's Dog III,黛雅 - 財團的狗 III,黛雅 - 财团的狗 III,다이아몬드 - 재단의 개 III
Memory.DaiyaHorny_1,ダイヤモンド - ペット同士 I,Diamond - Among Pets I,黛雅 - 寵物之間 I,黛雅 - 宠物之间 I,ダイヤモンド - ペット同士 I,Diamond - Among Pets I,黛雅 - 寵物之間 I,黛雅 - 宠物之间 I,다이아몬드 - 애완동물 사이 I
Memory.DaiyaHorny_2,ダイヤモンド - ペット同士 II,Diamond - Among Pets II,黛雅 - 寵物之間 II,黛雅 - 宠物之间 II,ダイヤモンド - ペット同士 II,Diamond - Among Pets II,黛雅 - 寵物之間 II,黛雅 - 宠物之间 II,다이아몬드 - 애완동물 사이 II
Memory.DaiyaCore_1,ダイヤモンド - 聖核研究 I,Diamond - Holy Core Research I,黛雅 - 聖核研究 I,黛雅 - 圣核研究 I,ダイヤモンド - 聖核研究 I,Diamond - Holy Core Research I,黛雅 - 聖核研究 I,黛雅 - 圣核研究 I,다이아몬드 - 성핵 연구 I
Memory.HisuiBrainWash_1,ヒスイ - 下級戦闘員 I,Hisui - Low-Ranking Combatant I,翡翠 - 下級戰鬥員 I,翡翠 - 下级战斗员 I,ヒスイ - 下級戦闘員 I,Hisui - Low-Ranking Combatant I,翡翠 - 下級戰鬥員 I,翡翠 - 下级战斗员 I,비취 - 하급 전투원 I
Memory.HisuiBrainWash_2,ヒスイ - 下級戦闘員 II,Hisui - Low-Ranking Combatant II,翡翠 - 下級戰鬥員 II,翡翠 - 下级战斗员 II,ヒスイ - 下級戦闘員 II,Hisui - Low-Ranking Combatant II,翡翠 - 下級戰鬥員 II,翡翠 - 下级战斗员 II,비취 - 하급 전투원 II
Memory.HisuiBrainWash_3,ヒスイ - 下級戦闘員 III,Hisui - Low-Ranking Combatant III,翡翠 - 下級戰鬥員 III,翡翠 - 下级战斗员 III,ヒスイ - 下級戦闘員 III,Hisui - Low-Ranking Combatant III,翡翠 - 下級戰鬥員 III,翡翠 - 下级战斗员 III,비취 - 하급 전투원 III
Memory.HisuiHorny_1,ヒスイ - 昔いの憧れ I,Hisui - Old Admiration I,翡翠 - 以往的憧憬 I,翡翠 - 以往的憧憬 I,ヒスイ - 昔いの憧れ I,Hisui - Old Admiration I,翡翠 - 以往的憧憬 I,翡翠 - 以往的憧憬 I,비취 - 지난 동경 I
Memory.HisuiHorny_2,ヒスイ - 昔いの憧れ II,Hisui - Old Admiration II,翡翠 - 以往的憧憬 II,翡翠 - 以往的憧憬 II,ヒスイ - 昔いの憧れ II,Hisui - Old Admiration II,翡翠 - 以往的憧憬 II,翡翠 - 以往的憧憬 II,비취 - 지난 동경 II
Memory.HisuiCore_1,ヒスイ - 聖核研究 I,Hisui - Holy Core Research I,翡翠 - 聖核研究 I,翡翠 - 圣核研究 I,ヒスイ - 聖核研究 I,Hisui - Holy Core Research I,翡翠 - 聖核研究 I,翡翠 - 圣核研究 I,비취 - 성핵 연구 I
Memory.K22BrainWash_1,K22 - 底辺日常 I,K22 - Bottom-tier Daily Life I,K22 - 底層日常 I,K22 - 底层日常 I,K22 - 底辺日常 I,K22 - Bottom-tier Daily Life I,K22 - 底層日常 I,K22 - 底层日常 I,K22 - 밑바닥 일상 I
Memory.K22BrainWash_2,K22 - 底辺日常 II,K22 - Bottom-tier Daily Life II,K22 - 底層日常 II,K22 - 底层日常 II,K22 - 底辺日常 II,K22 - Bottom-tier Daily Life II,K22 - 底層日常 II,K22 - 底层日常 II,K22 - 밑바닥 일상 II
Memory.AkihoDLC,明穂＆クローン戦闘員,Akiho & Clone Combatants,明穗＆克隆戰鬥員,明穗＆克隆战斗员,明穂＆クローン戦闘員,Akiho & Clone Combatants,明穗＆克隆戰鬥員,明穗＆克隆战斗员,아키호 & 클론 전투원
Memory.ErenaDLC,清藤 エレナ,Seidō Erena,清藤 艾蓮娜,清藤 艾莲娜,清藤 エレナ,Seidō Erena,清藤 艾蓮娜,清藤 艾莲娜,세이토 엘레나
WorldMapScene,ワールドマップ,World Map,ワールドマップ,ワールドマップ,ワールドマップ,World Map,ワールドマップ,ワールドマップ,월드 맵
System.Story,ストーリー進行,Continue story,繼續故事,继续故事,ストーリー進行,Continue story,繼續故事,继续故事,스토리 진행
System.EndGameContent,高難易度コンテンツ,Endgame\nContent,番外篇劇情,番外篇剧情,高難易度コンテンツ,Endgame\nContent,番外篇劇情,番外篇剧情,고난도 콘텐츠
System.DLCContent,追加コンテンツ,Extra\nContent,追加內容,追加内容,追加コンテンツ,Extra\nContent,追加內容,追加内容,추가 콘텐츠
System.SideMission,資源調達クエスト,Resource Gathering,其他任務,其他任务,資源調達クエスト,Resource Gathering,其他任務,其他任务,자원 조달 퀘스트
System.QuestList,クエスト一覧,Operation List,任務一覧,任务一覧,クエスト一覧,Operation List,任務一覧,任务一覧,퀘스트 목록
System.FoodQuest,[食料調達],[Food Gather],[搶奪糧食],[抢夺粮食],[食料調達],[Food Gather],[搶奪糧食],[抢夺粮食],[식량 약탈]
System.BankQuest,[銀行強盗],[Bank Robe],[銀行強盗],[银行强盗],[銀行強盗],[Bank Robe],[銀行強盜],[银行强盗],[은행 강도]
System.ResearchQuest,[戦闘研究],[Battle Research],[戦闘研究],[戦闘研究],[戦闘研究],[Battle Research],[戰鬥研究],[戦闘研究],[전투 연구]
System.RewardQuest,報酬,Reward,報酬,报酬,報酬,Reward,報酬,报酬,보상
System.AlertLevel,警戒度,Security Level,警戒度,警戒度,警戒度,Security Level,警戒度,警戒度,경계도
System.Star,★,★,★,★,★,★,★,★,★
System.NotEnoughItemSlot,インベントリ不足,Not enough inventory slot.,物品欄位不足,物品栏位不足,インベントリ不足,Not enough inventory slot.,物品欄位不足,物品栏位不足,인벤토리 부족
Names,名詞/名称,名詞/名称,名詞/名称,名词/名称,名詞/名称,名詞/名称,名詞/名稱,名词/名称,명사/명칭
Name.Akiho,笹谷 明穂,Sasaya Akiho,笹谷 明穗,笹谷 明穗,笹谷 明穂,Sasaya Akiho,笹谷 明穗,笹谷 明穗,사사야 아키호
Name.Rikka,水無瀬 六花,Minase Rikka,水無瀬 六花,水无瀬 六花,水無瀬 六花,Minase Rikka,水無瀬 六花,水无瀬 六花,미나세 릿카
Name.Kei,猫宮 京,Nekomiya Kei,猫宮 京,猫宫 京,猫宮 京,Nekomiya Kei,貓宮 京,猫宫 京,네코미야 케이
Name.Erena,清藤 エレナ,Seidō Erena,清藤 艾蓮娜,清藤 艾莲娜,清藤 エレナ,Seidō Erena,清藤 艾蓮娜,清藤 艾莲娜,세이토 엘레나
Name.Nayuta,八雲 那由多,Yakumo Nayuta,八雲 那由多,八云 那由多,八雲 那由多,Yakumo Nayuta,八雲 那由多,八云 那由多,야쿠모 나유타
Name.Diamond,ダイヤモンド,Diamond,黛雅,黛雅,ダイヤモンド,Diamond,黛雅,黛雅,다이아몬드
Name.Hisui,西園寺 ヒスイ,Saionji Hisui,西園寺 翡翠,西园寺 翡翠,西園寺 ヒスイ,Saionji Hisui,西園寺 翡翠,西园寺 翡翠,사이온지 히스이
Name.No5,005号,No.005,005号,005号,005号,No.005,005號,005号,005호
Name.No23,023号,No.023,023号,023号,023号,No.023,023號,023号,023호
Name.Battler,戦闘員,Combatant,戦鬥員,戦闘员,戦闘員,Combatant,戰鬥員,戦闘员,전투원
Name.Tentacle,触手怪人,TentacleMan,触手怪人,触手怪人,触手怪人,TentacleMan,觸手怪人,触手怪人,촉수 괴인
Name.Clone,005号,No.005,005号,005号,005号,No.005,005號,005号,005호
Name.RikkaDisguise,水無瀬 六花？,Minase Rikka??,水無瀬 六花？,水无瀬 六花？,水無瀬 六花？,Minase Rikka??,水無瀬 六花？,水无瀬 六花？,미나세 릿카?
Name.Drone,パトロールドローン,Patrol Drone,巡邏無人機,巡逻无人机,パトロールドローン,Patrol Drone,巡邏無人機,巡逻无人机,순찰 드론
Name.GoldDrone,進化型ドローン,Improved Drone,進化型無人機,进化型无人机,進化型ドローン,Improved Drone,進化型無人機,进化型无人机,진화형 드론
Name.DarkDrone,攻撃特化型ドローン,Attacker Drone,攻撃特化型無人機,攻撃特化型无人机,攻撃特化型ドローン,Attacker Drone,攻擊特化型無人機,攻撃特化型无人机,공격 특화형 드론
Name.Android,警備ドロイド,Patrol Android,警備機器人,警备机器人,警備ドロイド,Patrol Android,警備機器人,警备机器人,경비 드로이드
Name.GoldAndroid,進化型ドロイド,Improved Android,進化型機器人,进化型机器人,進化型ドロイド,Improved Android,進化型機器人,进化型机器人,진화형 드로이드
Name.DarkAndroid,攻撃特化型ドロイド,Attacker Android,攻撃特化型機器人,攻撃特化型机器人,攻撃特化型ドロイド,Attacker Android,攻擊特化型機器人,攻撃特化型机器人,공격 특화형 드로이드
Name.Tank,四脚タンク,Quad Leg Tank,四脚坦克,四脚坦克,四脚タンク,Quad Leg Tank,四腳坦克,四脚坦克,사각 탱크
Name.DarkTank,軍用歩行型タンク,Military Tank,軍用歩行型坦克,军用歩行型坦克,軍用歩行型タンク,Military Tank,軍用步行型坦克,军用歩行型坦克,군용 보행형 탱크
Name.PrivateDrone,私兵ドローン,Private Drone,私兵無人機,私兵无人机,私兵ドローン,Private Drone,私兵無人機,私兵无人机,"촉수 괴인, 전투원"
Name.PrivateAndroid,私兵ドロイド,Private Droid,私兵機器人,私兵机器人,私兵ドロイド,Private Droid,私兵機器人,私兵机器人,남자
Name.RogueTank,コーポ仕様タンク,Corporate-Spec Tank,企業規格坦克,企业规格坦克,コーポ仕様タンク,Corporate-Spec Tank,企業規格坦克,企业规格坦克,이사장
Name.Battler+Tentacle,触手怪人、戦闘員,"Combatant, TentacleMan",触手怪人、戦闘員,触手怪人、戦闘员,触手怪人、戦闘員,"Combatant, TentacleMan",觸手怪人、戰鬥員,触手怪人、戦闘员,촉수 괴인 (인간형)
Name.Man,男,Man,男,男,男,Man,男,男,감독
Name.Chairman,理事長,Chairman,理事長,理事长,理事長,Chairman,理事長,理事长,여학생
Name.Tentacle_Human,触手怪人(人間体),Tentacle (HumanForm),触手怪人(人類形態),触手怪人(人类形态),触手怪人(人間体),Tentacle (HumanForm),觸手怪人(人類形態),触手怪人(人类形态),성핵전희
Name.Director,監督,Director,監督,监督,監督,Director,監督,监督,역무원
Name.FemaleStudent,女生徒,Female Student,女學生,女学生,女隊員,Female Worker,女隊員,女队员,사회자
Name.SeikakuSenki,聖核戦姫,Seikaku Princess,聖核戰姬,圣核战姬,聖核戦姫,Seikaku Princess,聖核戰姬,圣核战姬,관객
Name.GuardMan,駅員,Station Staff,駅員,駅员,駅員,Station Staff,駅員,駅员,조수
Name.Host,司会者,Host,主持人,主持人,司会者,Host,主持人,主持人,고블린형 괴인
Name.Audience,観客,Audience,觀眾,观众,観客,Audience,觀眾,观众,괴인
Name.Assistant,助手,Assistant,助手,助手,助手,Assistant,助手,助手,관객１
Name.Goblin,ゴブリン型怪人,Goblin,哥布林型怪物,哥布林型怪物,ゴブリン型怪人,Goblin,哥布林型怪物,哥布林型怪物,관객２
Name.Mutant,怪人,Mutant,怪物,怪物,怪人,Mutant,怪物,怪物,관객３
Name.Audience1,観客１,Audience1,觀眾１,观众１,観客１,Audience1,觀眾１,观众１,시민A
Name.Audience2,観客２,Audience2,觀眾２,观众２,観客２,Audience2,觀眾２,观众２,시민B
Name.Audience3,観客３,Audience3,觀眾３,观众３,観客３,Audience3,觀眾３,观众３,시민C
Name.Citizen1,市民A,Citizen1,市民A,市民A,市民A,Citizen1,市民A,市民A,시민AB
Name.Citizen2,市民B,Citizen2,市民B,市民B,市民B,Citizen2,市民B,市民B,연구원
Name.Citizen3,市民C,Citizen3,市民C,市民C,市民C,Citizen3,市民C,市民C,슬라임
Name.Citizen12,市民AB,CitizenAB,市民AB,市民AB,市民AB,CitizenAB,市民AB,市民AB,릿카??
Name.Researcher,研究員,Researcher,研究員,研究员,研究員,Researcher,研究員,研究员,아키호＆릿카
Name.Slime,スライム,Slime,史萊姆,史莱姆,スライム,Slime,史萊姆,史莱姆,촉수 괴수
Name.Rikka_Core,立花？？,Rikka??,立花？？,立花？？,立花？？,Rikka??,立花？？,立花？？,072호＆다른 클론
Name.AkihoRikka,明穂＆六花,Akiho&Rikka,明穗＆立花,明穗＆立花,明穂＆六花,Akiho&Rikka,明穗＆立花,明穗＆立花,005호 (통신)
Name.Tentacle_Monster,触手怪獣,Tentacle Monster,触手怪獣,触手怪獣,触手怪獣,Tentacle Monster,觸手怪獸,触手怪獣,엘레나＆나유타
Name.Clones,072号＆他のクローン,No.072 and others,072号＆其他克隆體,072号＆其他克隆体,072号＆他のクローン,No.072 and others,072號＆其他克隆體,072号＆其他克隆体,클론 전투원
Name.No5_Call,005号(通信),No.005 (Call),005号(通信),005号(通信),005号(通信),No.005 (Call),005號(通信),005号(通信),전투원 (통신)
Name.ErenaNayuta,エレナ＆那由多,Erena&Nayuta,艾蓮娜&那由多,艾莲娜&那由多,エレナ＆那由多,Erena&Nayuta,艾蓮娜&那由多,艾莲娜&那由多,네코미야 케이 (통신)
Name.CloneBattler,クローン戦闘員,Clone,克隆,克隆,クローン戦闘員,Clone,克隆,克隆,클론 (통신)
Name.Battler_Call,戦闘員(通信),Combatant (Call),戦闘員(通信),戦闘员(通信),戦闘員(通信),Combatant (Call),戰鬥員(通信),戦闘员(通信),사사야 아키호
Name.Kei_Call,猫宮京(通信),Nekomiya Kei (Call),猫宮京(通信),猫宫京(通信),猫宮京(通信),Nekomiya Kei (Call),貓宮京(通信),猫宫京(通信),072호
Name.Clone_Call,クローン(通信),Clone(Call),克隆(通信),克隆(通信),クローン(通信),Clone(Call),克隆(通信),克隆(通信),네코미야 케이
Name.Akiho_Corrupted,笹谷 明穂,Sasaya Akiho,笹谷 明穗,笹谷 明穗,笹谷 明穂,Sasaya Akiho,笹谷 明穗,笹谷 明穗,세이토 엘레나
Name.Rikka_Corrupted,072号,No.072,072号,072号,072号,No.072,072號,072号,야쿠모 나유타
Name.Kei_Corrupted,猫宮 京,Nekomiya Kei,猫宮 京,猫宫 京,猫宮 京,Nekomiya Kei,貓宮 京,猫宫 京,다이아쨩
Name.Erena_Corrupted,清藤 エレナ,Seidō Erena,清藤 艾蓮娜,清藤 艾莲娜,清藤 エレナ,Seidō Erena,清藤 艾蓮娜,清藤 艾莲娜,K22호
Name.Nayuta_Corrupted,八雲 那由多,Yakumo Nayuta,八雲 那由多,八云 那由多,八雲 那由多,Yakumo Nayuta,八雲 那由多,八云 那由多,여성 전투원
Name.Diamond_Corrupted,ダイヤ,Diamond,黛雅,黛雅,ダイヤ,Diamond,黛雅,黛雅,하급 전투원
Name.Kei_Battler,K22号,K22,K22,K22,K22号,K22,K22號,K22,H46호
Name.Woman_Battler,女戦闘員,Woman Combatant,女戰斗員,女战斗员,女戦闘員,Woman Combatant,女戰鬥員,女战斗员,K46호
Name.Noob_Battler,下級戦闘員,Low Rank Combatant,低級戰斗員,低级战斗员,下級戦闘員,Low Rank Combatant,低級戰鬥員,低级战斗员,K47호
Name.Hisui_Battler,H46号,H46,K47,K47,H46号,H46,H46號,K47,K46호&K47호
Name.Hisui_Battler2,K46号,K46,K46,K46,K46号,K46,K46號,K46,세이토 그룹 경비원
Name.K47,K47号,K47,K47,K47,K47号,K47,K47號,K47,XXX
Name.K46&47,K46号&K47号,"K46, K47",K46和K47,K46和K47,K46号&K47号,"K46, K47",K46號和K47號,K46和K47,망보는 남자
Name.Security,清藤グループ警備員,Seidō Group Guard,清藤集團的保安,清藤集团的保安,清藤グループ警備員,Seidō Group Guard,清藤集團的保安,清藤集团的保安,
Name.Unknown,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,
Name.Watchman,見張り役の男,Lookout Man,看守的男人,看守的男人,見張り役の男,Lookout Man,看守的男人,看守的男人,
Mood,心情,Mood,心情,心情,心情,Mood,心情,心情,심정
Mood.Rebel,反抗的,Rebel,反抗,反抗,反抗的,Rebel,反抗,反抗,반항
Mood.Pleasure,享楽,Pleasure,享樂,享乐,享楽,Pleasure,享樂,享乐,향락
Mood.Despair,絶望,Despair,絶望,绝望,絶望,Despair,絕望,绝望,절망
Mood.Submissive,従順,Submissive,順從,顺从,従順,Submissive,順從,顺从,순종
Mood.Resist,忍耐,Resist,忍耐,忍耐,忍耐,Resist,忍耐,忍耐,인내
Mood.Contempt,軽蔑,Contempt,軽蔑,軽蔑,軽蔑,Contempt,輕蔑,軽蔑,경멸
Mood.Deprave,堕落,Deprave,堕落,堕落,堕落,Deprave,墮落,堕落,타락
Mood.Angry,憤怒,Angry,憤怒,愤怒,憤怒,Angry,憤怒,愤怒,분노
Mood.Expect,期待,Expecting,期待,期待,期待,Expecting,期待,期待,기대
Mood.Disgust,嫌悪,Disgust,嫌悪,嫌悪,嫌悪,Disgust,嫌棄,嫌悪,혐오
Mood.Loyal,忠実,Loyal,忠実,忠実,忠実,Loyal,忠實,忠実,충실
OptionSetting,オプション設定,Option,オプション設定,オプション设定,オプション設定,Option,オプション設定,オプション设定,옵션 설정
Option.BGM,BGM音量,BGM Volume,背景音量,背景音量,BGM音量,BGM Volume,背景音量,背景音量,BGM 음량
Option.SE,効果音音量,SE Volume,音效音量,音效音量,効果音音量,SE Volume,音效音量,音效音量,효과음 음량
Option.Voice,ボイス音量,Voice Volume,人物配音音量,人物配音音量,ボイス音量,Voice Volume,人物配音音量,人物配音音量,보이스 음량
Option.TextSpeed,テキスト速度,Text Spd,文本速度,文本速度,テキスト速度,Text Spd,文本速度,文本速度,텍스트 속도
Option.AutoSpeed,オート速度,Auto Spd,自動播放速度,自动播放速度,オート速度,Auto Spd,自動播放速度,自动播放速度,자동 속도
Option.Apply,適用,Apply,適用,适用,適用,Apply,適用,适用,적용
Option.Default,デフォルト,Default,預設值,预设值,デフォルト,Default,預設值,预设值,기본
Option.Second,秒,Sec,秒,秒,秒,Sec,秒,秒,초
Option.WindowMode,画面設定,Window Mode,画面設定,画面设定,画面設定,Window Mode,畫面設定,画面设定,화면설정
Option.FullScreen,フルスクリーン,Fullscreen,全屏,全屏,フルスクリーン,Fullscreen,全螢幕,全屏,풀스크린
Option.WindowedScreen,ウィンドウモード,Windowed Screen,窗口模式,窗口模式,ウィンドウモード,Windowed Screen,視窗模式,窗口模式,윈도모드
BattleScene,戦闘シーン,Battle Scene,戦闘シーン,戦闘シーン,戦闘シーン,Battle Scene,戦闘シーン,戦闘シーン,전투 장면
Battle.Attack,攻撃,Attack,攻撃,攻撃,攻撃,Attack,攻擊,攻撃,공격
Battle.Skill,特殊技,Skill,技能,技能,特殊技,Skill,技能,技能,특수
Battle.Item,道具,Item,道具,道具,道具,Item,道具,道具,도구
Battle.Idle,待機,Idle,待機,待机,待機,Idle,待機,待机,대기
Battle.Level,Lv.,Lv.,Lv.,Lv.,Lv.,Lv.,Lv.,Lv.,Lv.
Battle.HP,HP,HP,HP,HP,HP,HP,HP,HP,HP
Battle.MP,SP,SP,SP,SP,SP,SP,SP,SP,SP
Battle.ActionOrder,行動順序,Order,行動順序,行动顺序,行動順序,Order,行動順序,行动顺序,행동 순서
Battle.Cancel,右クリックで取り消し,Right click to cancel action,右鍵取消行動,右键取消行动,右クリックで取り消し,Right click to cancel action,右鍵取消行動,右键取消行动,우클릭으로 취소
Battle.Start,任務開始,Operation Start,任務開始,任务开始,任務開始,Operation Start,任務開始,任务开始,임무 시작
Battle.Victory,任務クリア,Operation Success,任務完成,任务完成,任務クリア,Operation Success,任務完成,任务完成,임무 클리어
Battle.Defeat,敗北,Defeat,敗北,败北,敗北,Defeat,失敗,败北,패배
Battle.SkipTutorial,スキップ,Skip,跳過,跳过,スキップ,Skip,跳過,跳过,스킵
Battle.EscapeConfirm,撤退しますか？,Sure to escape?,確定要撤退嗎？,确定要撤退吗？,撤退しますか？,Sure to escape?,確定要撤退嗎？,确定要撤退吗？,후퇴하시겠습니까?
Battle.Escape,撤退,Run,撤退,撤退,撤退,Run,撤退,撤退,후퇴
Battle.CannotAttack,普通攻撃を行えない,Can not attack,不能普通攻撃,不能普通攻撃,普通攻撃を行えない,Can not attack,不能普通攻擊,不能普通攻撃,일반 공격 불가능
Battle.OnCooldown,チャージ中 ({0}ターン),On cooldown ({0}turn),冷卻中 ({0}回合),冷却中 ({0}回合),チャージ中 ({0}ターン),On cooldown ({0}turn),冷卻中 ({0}回合),冷却中 ({0}回合),차지 중 ({0}턴)
Battle.NotEnoughSP,SP不足 ({0}),Not enough SP ({0}),SP不足 ({0}),SP不足 ({0}),SP不足 ({0}),Not enough SP ({0}),SP不足 ({0}),SP不足 ({0}),SP 부족 ({0})
Battle.AbilityDisabled,使用不可,Disabled,不能使用,不能使用,使用不可,Disabled,不能使用,不能使用,사용 불가
Battle.AutoBattle,"オートバトル
ON",AutoBattling,自動戰鬥,自动战斗,"オートバトル
ON",AutoBattling,自動戰鬥,自动战斗,"자동 전투
ON"
Buff,状態,Buff,状態,状态,状態,Buff,狀態,状态,상태
Buff.Stun,行動不能,Stunned,行動不能,行动不能,行動不能,Stunned,無法行動,无法行动,행동 불능
Buff.Hurt,継続ダメージ,Hurt,持續傷害,持续伤害,継続ダメージ,Hurt,持續傷害,持续伤害,지속 데미지
Buff.Heal,継続回復,Heal,持續恢復,持续恢复,継続回復,Heal,持續恢復,持续恢复,지속 회복
Buff.Shield_up,防御力上昇,DEF UP,防御力上升,防御力上升,防御力上昇,DEF UP,防禦力上升,防御力上升,방어력 상승
Buff.Shield_down,防御力下降,DEF DOWN,防御力下降,防御力下降,防御力下降,DEF DOWN,防禦力下降,防御力下降,방어력 하강
Buff.Attack_up,攻撃力上昇,ATK UP,攻擊力上升,攻击力上升,攻撃力上昇,ATK UP,攻擊力上升,攻击力上升,공격력 상승
Buff.Attack_down,攻撃力下降,ATK DOWN,攻擊力下降,攻击力下降,攻撃力下降,ATK DOWN,攻擊力下降,攻击力下降,공격력 하강
Buff.Speed_up,素早さ上昇,SPD UP,敏捷度上升,敏捷度上升,素早さ上昇,SPD UP,敏捷度上升,敏捷度上升,민첩성 상승
Buff.Speed_down,素早さ下降,SPD DOWN,敏捷度下降,敏捷度下降,素早さ下降,SPD DOWN,敏捷度下降,敏捷度下降,민첩성 하강
Buff.ContinuousAction,連続行動,Continuous Action,連続行動,连続行动,連続行動,Continuous Action,連續行動,连続行动,연속 행동
Buff.Repel,反撃,Return damage,反擊,反撃,反撃,Return damage,反擊,反撃,반격
Buff.Disarm,無力化,Disarm,無力化,无力化,無力化,Disarm,無力化,无力化,무력화
Buff.Horny,発情,Estrus,發情,发情,発情,Estrus,發情,发情,
Equipment,アイテム名とその説明文,Items,アイテム名とその説明文,アイテム名とその说明文,アイテム名とその説明文,Items,アイテム名とその説明文,アイテム名とその说明文,아이템명과 그 설명문
Equipment.NiceT-Shirt,気持ち良いTシャツ,Comfortable T-Shirt,穿起來很舒服的T衫,穿起来很舒服的T衫,気持ち良いTシャツ,Comfortable T-Shirt,穿起來很舒服的T恤,穿起来很舒服的T衫,기분 좋은 티셔츠
Equipment.NiceT-Shirt_Info,気持ちよすぎるTシャツ、すごく動きやすい。,"A T-shirt that's too comfortable, extremely easy to move around in.",舒服過頭了，很方便行動。,舒服过头了，很方便行动。,気持ちよすぎるTシャツ、すごく動きやすい。,"A T-shirt that's too comfortable, extremely easy to move around in.",這件T恤穿著非常舒適，方便行動。,舒服过头了，很方便行动。,"너무 기분 좋은 티셔츠, 굉장히 움직이기 편하다."
Equipment.Helmet,スマートヘッドギア,Smart Headgear,智能頭盔,智能头盔,スマートヘッドギア,Smart Headgear,智能頭盔,智能头盔,스마트 헤드기어
Equipment.Helmet_Info,"頭部の守りだけでなく、情報のリアルタイム表示も可能な最新型ヘルメット。
かの過酷な戦場「クォンタム戦役」での生存率を確実に向上させてきたアイテム。","A cutting-edge helmet that not only protects the head but also provides real-time information display.
Proven to significantly increase survival rates in the harsh battlefield known as the 'Quantum War.'","不只能夠用來保護頭部，這是個能夠隨時顯示戰場情報的頭盔。
再那個有名的「原子戦役」裡被證實有助於提升生存率的物品。","不只能够用来保护头部，这是个能够随时显示战场情报的头盔。
再那个有名的「原子戦役」里被证实有助于提升生存率的物品。","頭部の守りだけでなく、情報のリアルタイム表示も可能な最新型ヘルメット。
かの過酷な戦場「クォンタム戦役」での生存率を確実に向上させてきたアイテム。","A cutting-edge helmet that not only protects the head but also provides real-time information display.
Proven to significantly increase survival rates in the harsh battlefield known as the 'Quantum War.'","能夠用來保護頭部，是個能夠隨時顯示戰場情報的頭盔。
再那個有名的「原子戰役」裡被證實有助於提升生存率的物品。","不只能够用来保护头部，这是个能够随时显示战场情报的头盔。
再那个有名的「原子戦役」里被证实有助于提升生存率的物品。","머리 보호뿐만 아니라, 정보의 실시간 표시도 가능한 최신형 헬멧.
그 혹독한 전장 「퀀텀 전역」에서의 생존율을 확실히 향상시켜 온 아이템."
