 ,Comment,Japanese,Japanese_Steam,Traditional Chinese_Steam,Traditional Chinese,English,English_Steam,Korean_Steam,Simplified Chinese_Steam
Dialog.Chapter2-2-15,005号,「…笹谷明穂はこのビルの屋上近くの部屋にいます。私達の要求に従えば今日中にでも開放します」,「…笹谷明穂はこのビルの屋上近くの部屋にいます。私達の要求に従えば今日中にでも開放します」,「…笹谷明穗現在在這棟大樓接近頂樓的房間裡。如果您按照我們的要求行事，她今天之內就能被放出來。」,「…笹谷明穗現在在這棟大樓接近頂樓的房間裡。如果您按照我們的要求行事，她今天之內就能被放出來。」,"「...Sasaya Akiho is in a room near the roof of this building. If you comply with our request, we will release her today.」","""Akiho Sasaya is in a room near the top of the building. If you do as we say, we will allow you to see her today.""",「…사사야 아키호는 이 빌딩 옥상 근처 방에 있습니다. 저희 요구에 따르면 오늘 중으로라도 개방하겠습니다」,「…笹谷明穗现在在这栋大楼接近顶楼的房间里。如果您按照我们的要求行事，她今天之内就能被放出来。」
,,,,,,,,,
Dialog.Chapter2-2-16,,「――――要求は簡単です。少し貴女の体を調べるだけです。」,「――――要求は簡単です。少し貴女の体を調べるだけです。」,「――我們的要求很簡單。只是想稍微檢查一下您的身體而已。」,「――我們的要求很簡單。只是想稍微檢查一下您的身體而已。」,「 ――――The request is simple. All we want is to examine your body a little.」,"""What we want is very simple. We just need to inspect your body.""",「――――요구는 간단합니다. 잠시 당신의 몸을 조사할 뿐입니다.」,「――我们的要求很简单。只是想稍微检查一下您的身体而已。」
,,,,,,,,,
Dialog.Chapter2-2-16.2,ここからエロシーン,クローンに連れていかれたビルの中の一室にて,クローンに連れていかれたビルの中の一室にて,六花被克隆人帶去建築物內的某一個房間裡。,六花被克隆人帶去建築物內的某一個房間裡,In a room in a building taken by a clone,The clone took her to a room in the building.,클론에게 끌려간 빌딩 안의 한 방에서,六花被克隆人带去建筑物内的某一个房间里。
Dialog.Chapter2-2-17,六花,「…っなんで全裸になる必要があるのっ！？」,「…っなんで全裸になる必要があるのっ！？」,「等等…為什麼需要全裸啊！？」,「等等…為什麼需要全裸啊！？」,「... Why do I have to be naked?」,"""...Is it really necessary for me to be naked?""","「…읏, 왜 알몸이 될 필요가 있는 거야!?」",「等等…为什么需要全裸啊！？」
,Rikka2ｰ1,,,,,,,,
Dialog.Chapter2-2-18,005号,「静かにしてください。大事な事なので。それにクローンに見られてもどうということは無いでしょう」,「静かにしてください。大事な事なので。それにクローンに見られてもどうということは無いでしょう」,「請您保持安靜，我們在執行很重要的事。而且被自己的克隆人看到裸體應該也沒什麼大不了的吧。」,「請您保持安靜，我們在執行很重要的事。而且被自己的克隆人看到裸體應該也沒什麼大不了的吧。」,"「Please be quiet. It's important. Besides, what does it matter if the clone sees your body?」","""Please be quiet, as this is very important. And it doesn't matter if your clone looks at your body, right?""",「조용히 하십시오. 중요한 일이니. 그리고 클론에게 보여진다고 문제 될 건 없을 텐데요」,「请您保持安静，我们在执行很重要的事。而且被自己的克隆人看到裸体应该也没什么大不了的吧。」
,,,,,,,,,
Dialog.Chapter2-2-19,,六花は服を全てぬがされ、クローン戦闘員達によって身体を検査されていた,六花は服を全てぬがされ、クローン戦闘員達によって身体を検査されていた,六花被迫脫光了所有衣服，正在被克隆戰鬥員們檢查身體。,六花被迫脫光了所有衣服，正在被克隆戰鬥員們檢查身體。,Rikka was stripped of all her clothes and her body was examined by the clone fighters.,Rikka was stripped naked and inspected by the clone soldiers.,"릿카는 옷을 전부 벗겨지고, 클론 전투원들에게 신체를 검사받고 있었다",六花被迫脱光了所有衣服，正在被克隆战斗员们检查身体。
,,,,,,,,,
Dialog.Chapter2-2-20,六花,「……もし触ったり、何か変な事しようとしたらその時はいつでも変身するから」,「……もし触ったり、何か変な事しようとしたらその時はいつでも変身するから」,「……如果妳們突然摸我或者做什麼奇怪的事，那我可是隨時都可以變身的啊。」,「……如果你們突然摸我或者做什麼奇怪的事，那我可是隨時都可以變身的啊。」,"「...... if you touch me or try anything weird, I'll transform.」","""I am going to transform if you try to do anything funny.""","「……만약 만지거나, 뭔가 이상한 짓 하려 하면 그땐 언제든 변신할 거니까」",「……如果妳们突然摸我或者做什么奇怪的事，那我可是随时都可以变身的啊。」
,,,,,,,,,
Dialog.Chapter2-2-21,005号,「もちろんわかっています。オリジナルの下着は水色縞模様…と」,「もちろんわかっています。オリジナルの下着は水色縞模様…と」,「這種事情我們當然知道。嗯.. 原來原型的內衣是水藍色條紋的…」,「這種事情我們當然知道。嗯.. 原來原型的內衣是水藍色條紋的…」,「Of course I know. So the original underwear was light blue striped...」,"""We understand. Your underwear is blue... I see...""",「물론 알고 있습니다. 오리지널의 속옷은 하늘색 줄무늬…라고」,「这种事情我们当然知道。嗯.. 原来原型的内衣是水蓝色条纹的…」
,Rikka2-2,,,,,,,,
Dialog.Chapter2-2-22,六花,「別になんだっていいでしょ！あんたたちだって不気味なスーツ着てるくせに！」,「別になんだっていいでしょ！あんたたちだって不気味なスーツ着てるくせに！」,「這種事情怎樣都無所謂吧！你們這些傢伙自己還不是穿著詭異的制服！」,「這種事情怎樣都無所謂吧！你們這些傢伙自己還不是穿著詭異的制服！」,「How come things like this matter! You're the ones in the creepy suits!」,"""That doesn't matter, does it? I mean, look at the gross suits you're all wearing!""",「딱히 뭐든 상관없잖아! 너희들도 불쾌한 슈트나 입고 있으면서!」,「这种事情怎样都无所谓吧！你们这些家伙自己还不是穿着诡异的制服！」
,,,,,,,,,
Dialog.Chapter2-2-23,005号,「なんでもよくありません。オリジナルの趣味嗜好も重要なデータですので」,「なんでもよくありません。オリジナルの趣味嗜好も重要なデータですので」,「沒有這麼隨便。原型的興趣和喜好也是重要的數據。」,「沒有這麼隨便。原型的興趣和喜好也是重要的數據。」,「It does matter. Original's tastes and preferences are important data.」,"""It does, because the Original's tastes and hobbies are important to us.""",「뭐든 상관없지는 않습니다. 오리지널의 취미 취향도 중요한 데이터이므로」,「没有这么随便。原型的兴趣和喜好也是重要的数据。」
,,,,,,,,,
Dialog.Chapter2-2-24,005号,「……計測を続けます。身長は162cm、体重は52.4kg、体脂肪率22.4％、乳輪の直径は32.5mm、乳頭は直径10.1mm―――」,「……計測を続けます。身長は162cm、体重は52.4kg、体脂肪率22.4％、乳輪の直径は32.5mm、乳頭は直径10.1mm―――」,「……繼續測量。身高162公分，體重52.4公斤，體脂肪率22.4%，乳暈直徑32.5毫米，乳頭直徑10.1毫米―――」,「……繼續測量。身高162公分，體重52.4公斤，體脂肪率22.4%，乳暈直徑32.5毫米，乳頭直徑10.1毫米―――」,"「...... let's continue with the measurements. Height is 162 cm, weight is 52.4 kg, body fat percentage is 22.4%, nipple diameter is 32.5 mm, nipple diameter is 10.1 mm―――」","""...The measuring continues. 162 centimeters tall, weighs 52.4 kilograms, with 22.4% body fat. The diameter of the areola is 32.5 millimeters, and the diameter of the nipple is 10.1 millimeters...""","「……계측을 계속합니다. 신장은 162cm, 체중은 52.4kg, 체지방률 22.4％, 유륜 직경은 32.5mm, 유두는 직경 10.1mm―――」",「……继续测量。身高162公分，体重52.4公斤，体脂肪率22.4%，乳晕直径32.5毫米，乳头直径10.1毫米―――」
,Rikka2-3,,,,,,,,
Dialog.Chapter2-2-25,六花,「っ、ちょっと！、身長体重はともかく、なんでそんな所まで計測するのっ！？」,「っ、ちょっと！、身長体重はともかく、なんでそんな所まで計測するのっ！？」,「喂、等等！身高體重就算了，為什麼連那種地方都要測量啊！？」,「喂、等等！身高體重就算了，為什麼連那種地方都要測量啊！？」,"「H.. hey! Other than height and weight, why are you measuring all that?」","""W-Wait! I understand the need for height and weight, but these other measurements...:","「윽, 잠깐!, 신장 체중은 그렇다 쳐도, 왜 그런 데까지 계측하는 거야!?」",「喂、等等！身高体重就算了，为什么连那种地方都要测量啊！？」
,,,,,,,,,
Dialog.Chapter2-2-26,005号,「聖核戦姫になる事がどの様に身体に影響を与えるかを調査するためです」,「聖核戦姫になる事がどの様に身体に影響を与えるかを調査するためです」,「這是為了調查成為聖核戰姫會如何影響您的身體。」,「這是為了調查成為聖核戰姫會如何影響您的身體。」,「The purpose is to investigate how being a Seikaku Princess affects the body.」,"""We need to investigate the impact on your body from being a Holy Core Battlemaiden.""",「성핵전희가 되는 것이 어떻게 신체에 영향을 주는지 조사하기 위해서입니다」,「这是为了调查成为圣核战姫会如何影响您的身体。」
,Rikka2-2,,,,,,,,
Dialog.Chapter2-2-27,005号,「続けます。クリトリスの大きさは―――」,「続けます。クリトリスの大きさは―――」,「我們繼續。陰蒂的大小是―――」,「我們繼續。陰蒂的大小是―――」,「Continue. The size of the clitoris is―――」,"""Next, the size of her clitoris is...""",「계속합니다. 클리토리스의 크기는―――」,「我们继续。阴蒂的大小是―――」
,,,,,,,,,
Dialog.Chapter2-2-28,,しばらくクローン達による計測が続いた後,しばらくクローン達による計測が続いた後,在克隆人進行了一段時間的測量之後。,在克隆人進行了一段時間的測量之後,After some time of measurement by the clones,After the clones measured what they needed from Rikka...,잠시 클론들에 의한 계측이 계속된 후,在克隆人进行了一段时间的测量之后。
,,,,,,,,,
Dialog.Chapter2-2-29,005号,「――――では次に口頭での質問です。一週間の自慰の回数を教えてください。」,「――――では次に口頭での質問です。一週間の自慰の回数を教えてください。」,「――接下來是口頭問題。請告訴我們妳一週自慰的次數。」,「――接下來是口頭問題。請告訴我們你一週自慰的次數。」,「―――― the next question is an oral question. How many times do you masturbate in a week?」,"""Now we will ask you some questions. How many times a week do you masturbate?""",「――――그럼 다음은 구두 질문입니다. 일주일간의 자위 횟수를 알려주십시오.」,「――接下来是口头问题。请告诉我们妳一周自慰的次数。」
,,,,,,,,,
Dialog.Chapter2-2-30,六花,「はぁっ！？なんでそんなことっ」,「はぁっ！？なんでそんなことっ」,「啥！？為什麼要問這種事啊！」,「啥！？為什麼要問這種事啊！」,「Huh? Again why does that matter?」,"""Huh? Why do you need to know?""",「하앗!? 왜 그런 걸」,「啥！？为什么要问这种事啊！」
,,,,,,,,,
Dialog.Chapter2-2-31,005号,「これも聖核戦姫の身体に与える影響を―――」,「これも聖核戦姫の身体に与える影響を―――」,「當然這也是為了調查聖核戰姫對身體的影響―――」,「當然這也是為了調查聖核戰姫對身體的影響―――」,「This too will have an effect on the body of the Seikaku Princess...」,"""We need to know the impact of being a Holy Core Battlemaiden...""",「이것도 성핵전희의 신체에 미치는 영향을―――」,「当然这也是为了调查圣核战姫对身体的影响―――」
,,,,,,,,,
Dialog.Chapter2-2-32,六花,「だからってそんなの教えるわけないでしょ！」,「だからってそんなの教えるわけないでしょ！」,「就算這樣說總不可能回答妳這種問題吧！」,「就算這樣總不可能回答你這種問題吧！」,「That doesn't mean I'm going to tell you that!」,"""That's not something I will tell you!""",「그렇다고 그런 걸 가르쳐줄 리 없잖아!」,「就算这样说总不可能回答妳这种问题吧！」
,,,,,,,,,
Dialog.Chapter2-2-33,005号,「……貴女は笹谷明穂よりも自分のプライドを優先するのですか？」,「……貴女は笹谷明穂よりも自分のプライドを優先するのですか？」,「……比起笹谷明穗您更優先自己的尊嚴嗎？」,「……比起笹谷明穗您更優先自己的尊嚴嗎？」,「...... you put your pride ahead of Sasaya Akiho?」,"""...Is your pride more important than Akiho Sasaya?""",「……당신은 사사야 아키호보다 자신의 프라이드를 우선시하는 겁니까?」,「……比起笹谷明穗您更优先自己的尊严吗？」
,,,,,,,,,
Dialog.Chapter2-2-34,六花,「っ！………うぅ～」,「っ！………うぅ～」,「！……嗚～」,「！……嗚～」,「! ......... ugh~」,"""Ugh...""",「윽!………으으~」,「！……呜～」
,,,,,,,,,
Dialog.Chapter2-2-35,,「………週に、3回…ぐらい。」,「………週に、3回…ぐらい。」,「……一週，大約…3次。」,「……一週，大約…3次。」,「......... about...three times..... a week.」,"""About... three times a week...""","「………일주일에, 3번…정도.」",「……一周，大约…3次。」
,,,,,,,,,
Dialog.Chapter2-2-36,005号,「虚偽の報告はやめてください。あなたの検索履歴からは―――」,「虚偽の報告はやめてください。あなたの検索履歴からは―――」,「請不要做出虛假的報告。從妳的搜尋記錄來看———」,「請不要做出虛假的報告。從你的搜尋記錄來看———」,「Please do not report false information. Your search history says otherw――」,"""Please do not provide false information. From your search history...""",「허위 보고는 하지 마십시오. 당신의 검색 기록에는―――」,「请不要做出虚假的报告。从妳的搜寻记录来看———」
,,,,,,,,,
Dialog.Chapter2-2-37,六花,「毎日っ！、疲れてる時以外は毎日してるっ！朝起きた時と夜シャワー浴びる前に！」,「毎日っ！、疲れてる時以外は毎日してるっ！朝起きた時と夜シャワー浴びる前に！」,「每天！！除非太累的時候，每天都會做！早上起床時和晚上洗澡前！」,「每天！！除非太累的時候，每天都會做！早上起床時和晚上洗澡前！」,「Every day! I do it every day except when I'm tired! When I wake up in the morning and before I shower at night!」,"""Every day! Every day unless I'm tired! I do it when I wake up and before I take a shower at night!""",「매일! 피곤할 때 빼고는 매일 하고 있어! 아침에 일어났을 때랑 밤에 샤워하기 전에!」,「每天！！除非太累的时候，每天都会做！早上起床时和晚上洗澡前！」
,,,,,,,,,
Dialog.Chapter2-2-38,005号,「具体的にどのようにしているのかも教えてください。」,「具体的にどのようにしているのかも教えてください。」,「請具體告訴我您是怎麼做的。」,「請具體告訴我您是怎麼做的。」,「Could you also tell me how exactly you do that?」,"""How do you do it? Please describe.""",「구체적으로 어떻게 하는지도 알려주십시오.」,「请具体告诉我您是怎么做的。」
,Rikka2-4,,,,,,,,
Dialog.Chapter2-2-39,六花,「………っ、妄想しながらっ、……指……入れて…。」,「………っ、妄想しながらっ、……指……入れて…。」,「……一邊幻想著，……用手指……插進去…。」,「……一邊幻想著，……用手指……插進去…。」,「............ I'm fantasizing... While putting my ...... fingers .........」,"""I fantasize about things... Then I put my finger... inside...""","「………윽, 망상하면서… …손가락…… 넣어서….」",「……一边幻想着，……用手指……插进去…。」
,,,,,,,,,
Dialog.Chapter2-2-40,005号,「正直に答えていただきありがとうございました」,「正直に答えていただきありがとうございました」,「感謝您誠實地回答。」,「感謝您誠實地回答。」,「Thank you for your honesty.」,"""Thank you for providing the correct answers.""",「솔직하게 답해주셔서 감사합니다」,「感谢您诚实地回答。」
,,,,,,,,,
Dialog.Chapter2-2-41,六花,「……うぅ、…っていうかなんで検索履歴知ってるの！？」,「……うぅ、…っていうかなんで検索履歴知ってるの！？」,「……嗚……應該說妳們為什麼會知道我的搜尋記錄！？」,「……嗚……應該說你們為什麼會知道我的搜尋記錄！？」,"「...... Ugh, I mean...how do you know my search history!」","""Ugh... Wait, how do you know my search history?""","「……으으, …그보다 왜 검색 기록을 아는 거야!?」",「……呜……应该说妳们为什么会知道我的搜寻记录！？」
,,,,,,,,,
Dialog.Chapter2-2-42,005号,「私は貴女のクローンですので、スマホの生体認証も簡単に突破できました」,「私は貴女のクローンですので、スマホの生体認証も簡単に突破できました」,「因為我是您的克隆，所以輕鬆突破了手機的生物認證。」,「因為我是您的克隆，所以輕鬆突破了手機的生物認證。」,"「Since I am a clone of you, I was able to easily get past the biometrics on your phone.」","""I'm your clone, it was easy to bypass the biometric verification on your phone.""","「저는 당신의 클론이므로, 스마트폰의 생체 인증도 간단히 돌파할 수 있었습니다」",「因为我是您的克隆，所以轻松突破了手机的生物认证。」
,,,,,,,,,
Dialog.Chapter2-2-43,六花,「……っ！(終わったらぶっ飛ばして記憶消してやるっ)」,「……っ！(終わったらぶっ飛ばして記憶消してやるっ)」,「……！（完事後要把妳們揍飛然後消除記憶！）」,「……！（完事後要把你們揍飛然後消除記憶！）」,「...... (I'm going to blow you up and erase all history when I'm done!)」,"""... (I'm going to beat her up so she won't remember a thing!)""",「……윽! (끝나면 박살 내서 기억 지워버리겠어!)」,「……！（完事后要把妳们揍飞然后消除记忆！）」
,,,,,,,,,
Dialog.Chapter2-2-44,005号,「では最後です。尿検査を行いますのでこの容器に向かって放尿してください。」,「では最後です。尿検査を行いますのでこの容器に向かって放尿してください。」,「那麼最後一項。接下來要進行尿液檢查，請對著這個容器排尿。」,「那麼最後一項。接下來要進行尿液檢查，請對著這個容器排尿。」,「Now the last part. Please urinate into this container as we perform a urine test.」,"""We're almost at the end. A urine test is required, so please urinate toward this container.""",「그럼 마지막입니다. 소변 검사를 할 테니 이 용기에 소변을 보십시오.」,「那么最后一项。接下来要进行尿液检查，请对着这个容器排尿。」
,Rikka2-3,,,,,,,「하앗!? 여기서!?」,
Dialog.Chapter2-2-45,六花,「はぁ！？ここでっ！？」,「はぁ！？ここでっ！？」,「蛤！？在、在這裡！？」,「蛤！？在、在這裡！？」,「Huh? Here!」,"""Huh? Here? Now?""",,「蛤！？在、在这里！？」
,,,,,,,,,
Dialog.Chapter2-2-46,005号,「当たり前です。見えないところに行ったら何をするかわかりませんからね。触ることもできないので、こうするほかありません。」,「当たり前です。見えないところに行ったら何をするかわかりませんからね。触ることもできないので、こうするほかありません。」,「當然了。要是讓妳去看不見的地方，誰知道會做出什麼事呢。也不能讓妳用手觸碰，所以除此之外別無他法。」,「當然了。要是讓妳去看不見的地方，誰知道會做出什麼事呢。也不能讓妳用手觸碰，所以除此之外別無他法。」,"「Of course. If you go somewhere we can't see, we don't know what you will do. I can't touch you, so I have no choice but to do this.」","""Of course. We don't know what you might do where we can't see you. Since we can't touch you, this is the only way.""","「당연합니다. 안 보이는 곳에 가면 무슨 짓을 할지 모르니까요. 만질 수도 없으니, 이렇게 할 수밖에 없습니다.」",「当然了。要是让妳去看不见的地方，谁知道会做出什么事呢。也不能让妳用手触碰，所以除此之外别无他法。」
,,,,,,,,,
Dialog.Chapter2-2-47,六花,「そんなこと言ったって…っ、こんなに人いる中でっ…！」,「そんなこと言ったって…っ、こんなに人いる中でっ…！」,「就算妳這麼說……在、在這麼多人面前……！」,「就算你這麼說……在、在這麼多人面前……！」,"「Even so, but there are so many people here...!」","""Even if you say so, to do it with everyone here...""","「그런 말 해도…윽, 이렇게 사람 많은 데서!」",「就算妳这么说……在、在这么多人面前……！」
,,,,,,,,,
Dialog.Chapter2-2-48,005号,「そうですね。早くしてください。これで最後なので」,「そうですね。早くしてください。これで最後なので」,「嗯。請快一點吧。這是最後一項了。」,「嗯。請快一點吧。這是最後一項了。」,「I see. Please hurry up. This is the last one.」,"""Right. Well, please hurry up. This is the last item on the list.""",「그렇군요. 빨리 하십시오. 이걸로 마지막이니까」,「嗯。请快一点吧。这是最后一项了。」
,Rikka2-2,,,,,,,,
Dialog.Chapter2-2-49,六花,「～～～～ッ！、すればいいんでしょ！」,「～～～～ッ！、すればいいんでしょ！」,「～～～～！我照做就是了吧！」,「～～～～！我照做就是了吧！」,「～～～～! Fine I'll do it!」,"""...I just have to pee, right?""","「~~~~~~윽!, 하면 될 거 아냐!」",「～～～～！我照做就是了吧！」
,,,,,,,,,
Dialog.Chapter2-2-50,005号,「物分かりが良くて助かります。ではよく狙いを定めてお願いします」,「物分かりが良くて助かります。ではよく狙いを定めてお願いします」,「您這麼配合真是幫大忙了。那麼請好好瞄準，拜託了。」,「您這麼配合真是幫大忙了。那麼請好好瞄準，拜託了。」,"「I'm glad you're so understanding. Now, please aim well.」","""It helps that you understand the situation. Please aim carefully.""",「말귀를 잘 알아들으셔서 다행입니다. 그럼 잘 조준해서 부탁드립니다」,「您这么配合真是帮大忙了。那么请好好瞄准，拜托了。」
,Rikka2-4,,,,,,,,
Dialog.Chapter2-2-51,六花,「――そんなすぐ出るものじゃっ、くっ、んうっ」,「――そんなすぐ出るものじゃっ、くっ、んうっ」,「──哪有可能說出來就出來…唔、嗯─…」,「──哪有可能說出來就出來…唔、嗯─…」,「――it's not supposed to come out that easy.」,"""...It's not something you just... do! Ugh...""","「――그런다고 바로 나오는 게 아니… 큭, 응읏」",「──哪有可能说出来就出来…唔、嗯─…」
,,,,,,,,,
Dialog.Chapter2-2-52,,六花は何人ものクローンが見ている中、がに股中腰の姿勢で容器に狙いを定めようとする,六花は何人ものクローンが見ている中、がに股中腰の姿勢で容器に狙いを定めようとする,六花在眾多克隆體的注視下，以外八蹲低的姿勢，試圖朝容器瞄準定位。,六花在眾多複製體的注視下，以外八蹲低的姿勢，試圖朝容器瞄準定位。,Rikka tries to aim at the container with a hunched midriff position while several clones are watching,"With all the clones watching her, Rikka bent her legs and squatted a little.","릿카는 몇 명이나 되는 클론이 보는 앞에서, 다리를 벌리고 허리를 낮춘 자세로 용기에 조준하려 한다",六花在众多克隆体的注视下，以外八蹲低的姿势，试图朝容器瞄准定位。
,,,,,,,,,
Dialog.Chapter2-2-53,六花,(っ、クローンとはいえっ、大勢が見てる前でこんな格好でっ…),(っ、クローンとはいえっ、大勢が見てる前でこんな格好でっ…),（唔、就算對象是克隆體……在這麼多人面前擺出這種姿勢……）,（唔、就算對象是複製體……在這麼多人面前擺出這種姿勢……）,"(Even if it's just clone, being naked like this in front of so many people...)","(I know they're just clones, but it's hard to do this with them watching...)","(큭, 클론이라지만, 많은 사람이 보는 앞에서 이런 꼴로…)",（唔、就算对象是克隆体……在这么多人面前摆出这种姿势……）
,,,,,,,,,
Dialog.Chapter2-2-54,,(ううん、明穂のためっ！私が恥ずかしい思いするくらいどうってことないっ！),(ううん、明穂のためっ！私が恥ずかしい思いするくらいどうってことないっ！),（不、不對，這是為了明穗！只是讓我丟點臉而已，根本不算什麼！）,（不、不對，這是為了明穗！只是讓我丟點臉而已，根本不算什麼！）,"(No, it's for Akiho's sake! It doesn't matter if I'm embarrassed!)",(But I can't let this get in my way of saving Akiho!),"(아냐, 아키호를 위해서야! 내가 부끄러운 꼴 당하는 것쯤 아무것도 아니야!)",（不、不对，这是为了明穗！只是让我丢点脸而已，根本不算什么！）
,,,,,,,,,
Dialog.Chapter2-2-55,,そして六花は膀胱に意識を集中させ―――,そして六花は膀胱に意識を集中させ―――,接著，六花將意識集中至膀胱——,接著，六花將意識集中至膀胱——,Rikka then concentrated on her bladder and ――――.,"Rikka focused on her bladder, and...",그리고 릿카는 방광에 의식을 집중시켜―――,接着，六花将意识集中至膀胱——
,,,,,,,,,
Dialog.Chapter2-2-56,Rikka2-5,ぷしゃあああっ…,ぷしゃあああっ…,噗咻啊啊啊……,噗咻啊啊啊……,Psshhhh...,Pzzzz...,푸샤아아앗…,噗咻啊啊啊……
,,,,,,,,,
Dialog.Chapter2-2-57,六花,「う……、ぁ……っ♥」,「う……、ぁ……っ♥」,「嗚……啊……♥」,「嗚……啊……♥」,"「U......, ah......♥」","""Haaa... ♥""","「으……, 아……읏♥」",「呜……啊……♥」
,,,,,,,,,
Dialog.Chapter2-2-58,,六花の尿道から黄色の液体が放たれ、じょぼじょぼと音を立てながら容器に溜まっていく,六花の尿道から黄色の液体が放たれ、じょぼじょぼと音を立てながら容器に溜まっていく,黃色的液體從六花的尿道流出，發出嘩啦嘩啦的聲響，逐漸積滿了容器。,黃色的液體從六花的尿道流出，發出嘩啦嘩啦的聲響，逐漸積滿了容器。,Yellow liquid is released from Rikka's urethra and accumulates in a container while making a dribbling sound.,A yellow liquid came out of Rikka and filled the container.,"릿카의 요도에서 노란 액체가 방출되어, 조르륵 조르륵 소리를 내며 용기에 쌓여간다",黄色的液体从六花的尿道流出，发出哗啦哗啦的声响，逐渐积满了容器。
,,,,,,,,,
Dialog.Chapter2-2-59,六花,「っ…！そんなに見るなぁっ」,「っ…！そんなに見るなぁっ」,「…！不要盯著看啦」,「…！不要盯著看啦」,「.....Don't look at me like that!」,"""Ugh, don't look at me!""",「윽…! 그렇게 보지 마!」,「…！不要盯着看啦」
,,,,,,,,,
Dialog.Chapter2-2-60,005号,「沢山出ますね。サンプルが増えるので良いことです」,「沢山出ますね。サンプルが増えるので良いことです」,「出得真多呢。這是好事，樣本越多越好。」,「出得真多呢。這是好事，樣本越多越好。」,「It's good because it gives us a larger sample.」,"""That is a lot of urine. This is good, because we will have more samples to work with.""",「많이 나오네요. 샘플이 늘어나니 좋은 일입니다」,「出得真多呢。这是好事，样本越多越好。」
,,,,,,,,,
Dialog.Chapter2-2-61,六花,(～～ううっ、室内だからおしっこの音反響してっ、全員に聞かれてるっ、恥ずかしすぎるっ！),(～～ううっ、室内だからおしっこの音反響してっ、全員に聞かれてるっ、恥ずかしすぎるっ！),（～～嗚嗚、因為是在室內，小便的聲音一直迴盪……全都被聽見了……太羞恥了啦！）,（～～嗚嗚、因為是在室內，小便的聲音一直迴盪……全都被聽見了……太羞恥了啦！）,"(~~~Ugh, I'm indoors, so the sound of my pee will reverberate, everyone can hear me, it's too embarrassing!)","(Ugh, it's so embarrassing... Everyone can hear me peeing because I'm in a room...)","(~~으윽, 실내라서 오줌 소리가 울려서… 전부 듣고 있잖아! 너무 창피해!)",（～～呜呜、因为是在室内，小便的声音一直回荡……全都被听见了……太羞耻了啦！）
,,,,,,,,,
Dialog.Chapter2-2-62,,ぷしゃっ、ちょろろ……,ぷしゃっ、ちょろろ……,噗咻、滴哩哩……,噗咻、滴哩哩……,Pshaw ......,Pzzzz...,"푸샷, 조르르……",噗咻、滴哩哩……
,Rikka2-6,,,,,,,,
Dialog.Chapter2-2-63,六花,「――ふうっ、う…♥」,「――ふうっ、う…♥」,「――呼…♥」,「――呼…♥」,「――hu...u...♥」,"""Phew...♥""","「――후웃, 으…♥」",「――呼…♥」
,,,,,,,,,
Dialog.Chapter2-2-64,005号,「全部出し切ったようで何よりです。オリジナルの排尿、興味深く見させてもらいました」,「全部出し切ったようで何よりです。オリジナルの排尿、興味深く見させてもらいました」,「看來已經全都排乾淨了，真是太好了。原型的排尿過程，我也觀察得十分有興趣。」,「看來已經全都排乾淨了，真是太好了。原體的排尿過程，我也觀察得十分有興趣。」,「I'm glad you got it all out. I was very interested to see the Original's urination.」,"""It's important that you empty your bladder. It was very interesting to see the Original urinate.""","「전부 다 나온 것 같아 다행입니다. 오리지널의 배뇨, 흥미롭게 잘 봤습니다」",「看来已经全都排干净了，真是太好了。原型的排尿过程，我也观察得十分有兴趣。」
Dialog.Chapter2-2-65,六花,「～～～っっっ、！」,「～～～っっっ、！」,「～～～～～！！」,「～～～～～！！」,「~~~~!」,"""...Ugh!""","「~~~으읏읏,!」",「～～～～～！！」
,,,,,,,,,
,,,,,,,,,
,エロシーン終了,,,,,,,,
,廃ビル(日中),,,,,,,,
Dialog.Chapter2-2-66,六花,「…これで要求には全部従った。早く明穂に会わせて」,「…これで要求には全部従った。早く明穂に会わせて」,「……我已經配合完所有要求了。快讓我見明穗。」,「……我已經配合完所有要求了。快讓我見明穗。」,"「I've complied with all of your demands. Quickly, let me see Akiho.」","""I've done everything you asked, so please take me to Akiho.""",「…이걸로 요구는 전부 따랐어. 빨리 아키호에게 데려가 줘.」,「……我已经配合完所有要求了。快让我见明穗。」
,,,,,,,,,
Dialog.Chapter2-2-67,005号,「そうですね…、しかし全裸で手錠をつけた状態の敵を前に、私達が何もしないと思いますか？」,「そうですね…、しかし全裸で手錠をつけた状態の敵を前に、私達が何もしないと思いますか？」,「是啊……可是，妳難道真的天真地以為我們在面對全裸且戴著手銬的敵人時，會什麼都不做嗎？」,「是啊……可是，妳難道真的天真地以為我們在面對全裸且戴著手銬的敵人時，會什麼都不做嗎？」,「'Yes...but do you think we would do nothing in the face of an enemy who is completely naked and handcuffed?'」,"""I see. But do you think we won't take any action with our enemy standing in front of us naked?""","「그렇군요… 하지만 알몸에 수갑 찬 상태의 적을 앞에 두고, 저희가 아무것도 안 할 거라고 생각하십니까?」",「是啊……可是，妳难道真的天真地以为我们在面对全裸且戴着手铐的敌人时，会什么都不做吗？」
,,,,,,,,,
